Feature_ID	Taxon	Confidence
f7f18b813cda1d554136f15d0c3a4268	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aureitalea; s__marina	0.792629687436116
582a3efc9340062391d511f309dbb35b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.883821750430863
dc6238760f7fb47db3501252a3751840	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__	0.99999999974419
4707024c581681d782e5bea16b022505	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__	0.999937322789609
cca91477a3fbe0c64d9a4d2dd0e9b6de	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.999838884104942
3c54b26bf5d9e780126b0d1be93d0a6d	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__	0.871223430514717
6420671c26eef32065e0275c8cd6701e	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae	0.826324833230143
cfd5195aeb0fa8f78e715fc1a50766a5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.998543087055403
2a2b057c8ea50b1f07aeb2071c34a22b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__	0.74580302154902
37ec611cbcde08db6da0cd0412bb07bf	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__; s__	0.987975741302191
e1b2b6ae4af6686429c21926cc0314a0	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__	0.999999999959385
4e2e6735331ad01a30c94d2f4c285dc2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.824261233132998
384816e46b0fee9b7110e5099199ce5d	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__	0.99990186468447
811f358e4e89eecbd75298ffce878cba	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.864348689518595
d801398915f0c42c955a0a85af77bbc3	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bacteriovoracaceae; g__; s__	0.999968821306337
74a6b2d8faae4662532b0e4123964dac	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__	0.999999797047415
9b6acfb0708fe91f75081d6801659932	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__	0.999814437485641
ad139328ba8ac39c2e5ccef543df2deb	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__	0.999775176737277
8227c7bbef71c265dadd57ad3c51fd12	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__	0.999495749763569
ec269ebf47f2b4f998dba49510969e52	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__	0.999959337384213
86aa469d059333d585800f5af317851d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.832744444548386
ee766857ab5fc018ac26632146bc90e1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.994283045482025
67e8859e108281ee7971084bfa759522	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__symbiosum	0.999130383668182
b8b18f589b294a4bf53dd603995c4963	k__Bacteria; p__TM7; c__TM7-3; o__CW040; f__F16; g__; s__	0.999999999998892
9fec7bdd6bd88e710bd69b15692e54a0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__luteciae	0.975850520050651
129500150cad877075ed12b0c9424282	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.99999999785868
013640c582363045364eeb3fbf77f770	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aquimarina; s__	0.996638851825136
9710a22bf3f272446ed3c8ec64931f87	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__	0.999917834563153
b3d2cc3b9f0184830bec2ef73bcc6166	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__garvieae	0.993694202129975
6f74213d8f200ba70c3d3dddecf4fa4a	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__	0.970054813021642
e9590b36781b69df7b2f7958c8003724	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__marinisediminis	0.965571032600355
