"Compound Name","Formula","Mass","RT","CAS ID",D10-2X-P2-A1,D10-2X-P2-A10,D10-2X-P2-A11,D10-2X-P2-A2,D10-2X-P2-A3,D10-2X-P2-A5,D10-2X-P2-A6,D10-2X-P2-A7,D10-2X-P2-A9,D10-2X-P2-B1,D10-2X-P2-B10,D10-2X-P2-B11,D10-2X-P2-B2,D10-2X-P2-B3,D10-2X-P2-B5,D10-2X-P2-B6,D10-2X-P2-B7,D10-2X-P2-B9,D10-2X-P2-C1,D10-2X-P2-C10,D10-2X-P2-C11,D10-2X-P2-C2,D10-2X-P2-C3,D10-2X-P2-C5,D10-2X-P2-C6,D10-2X-P2-C7,D10-2X-P2-C9,D10-2X-P2-D1,D10-2X-P2-D10,D10-2X-P2-D11,D10-2X-P2-D2,D10-2X-P2-D3,D10-2X-P2-D5,D10-2X-P2-D6,D10-2X-P2-D7,D10-2X-P2-D9,D10-2X-P2-E1,D10-2X-P2-E10,D10-2X-P2-E11,D10-2X-P2-E2,D10-2X-P2-E3,D10-2X-P2-E5,D10-2X-P2-E6,D10-2X-P2-E7,D10-2X-P2-E9,D10-2X-P2-F1,D10-2X-P2-F10,D10-2X-P2-F11,D10-2X-P2-F2,D10-2X-P2-F3,D10-2X-P2-F5,D10-2X-P2-F6,D10-2X-P2-F7,D10-2X-P2-F9,D10-2X-P2-G1,D10-2X-P2-G10,D10-2X-P2-G11,D10-2X-P2-G2,D10-2X-P2-G3,D10-2X-P2-G5,D10-2X-P2-G6,D10-2X-P2-G7,D10-2X-P2-G9,D10-2X-P2-H1,D10-2X-P2-H10,D10-2X-P2-H11,D10-2X-P2-H2,D10-2X-P2-H3,D10-2X-P2-H5,D10-2X-P2-H6,D10-2X-P2-H7,D10-2X-P2-H9,BG-2X-P2-A1,BG-2X-P2-A10,BG-2X-P2-A11,BG-2X-P2-A2,BG-2X-P2-A3,BG-2X-P2-A5,BG-2X-P2-A6,BG-2X-P2-A7,BG-2X-P2-A9,BG-2X-P2-B1,BG-2X-P2-B10,BG-2X-P2-B11,BG-2X-P2-B2,BG-2X-P2-B3,BG-2X-P2-B5,BG-2X-P2--B6,BG-2X-P2-B7,BG-2X-P2-B9,BG-2X-P2-C1,BG-2X-P2-C10,BG-2X-P2-C11,BG-2X-P2-C2,BG-2X-P2-C3,BG-2X-P2-C5,BG-2X-P2-C6,BG-2X-P2-C7,BG-2X-P2-C9,BG-2X-P2-D1,BG-2X-P2-D10,BG-2X-P2--D11,BG-2X-P2-D2,BG-2X-P2-D3,BG-2X-P2-D5,BG-2X-P2-D6,BG-2X-P2-D7,BG-2X-P2-D9,BG-2X-P2-E1,BG-2X-P2-E10,BG-2X-P2-E11,BG-2X-P2-E2,BG-2X-P2-E3,BG-2X-P2-E5,BG-2X-P2-E6,BG-2X-P2-E7,BG-2X-P2-E9,BG-2X-P2-F1,BG-2X-P2-F10,BG-2X-P2-F11,BG-2X-P2-F2,BG-2X-P2-F3,BG-2X-P2-F5,BG-2X-P2-F6,BG-2X-P2-F7,BG-2X-P2-F9,BG-2X-P2-G1,BG-2X-P2-G10,BG-2X-P2-G11,BG-2X-P2-G2,BG-2X-P2-G3,BG-2X-P2-G5,BG-2X-P2-G6,BG-2X-P2-G7,BG-2X-P2-G9,BG-2X-P2-H1,BG-2X-P2-H10,BG-2X-P2-H11,BG-2X-P2-H2,BG-2X-P2-H3,BG-2X-P2-H5,BG-2X-P2-H6,BG-2X-P2-H7,BG-2X-P2-H9,HK-2X-P1-A1,HK-2X-P1-A10,HK-2X-P1-A11,HK-2X-P1-A2,HK-2X-P1-A3,HK-2X-P1-A5,HK-2X-P1-A6,HK-2X-P1-A7,HK-2X-P1-A9,HK-2X-P1-B1,HK-2X-P1-B10,HK-2X-P1-B11,HK-2X-P1-B2,HK-2X-P1-B3,HK-2X-P1-B5,HK-2X-P1-B6,HK-2X-P1-B7,HK-2X-P1-B9,HK-2X-P1-C1,HK-2X-P1-C10,HK-2X-P1-C11,HK-2X-P1-C2,HK-2X-P1-C3,HK-2X-P1-C5,HK-2X-P1-C6,HK-2X-P1-C7,HK-2X-P1-C9,HK-2X-P1-D1,HK-2X-P1-D10,HK-2X-P1-D11,HK-2X-P1-D2,HK-2X-P1-D3,HK-2X-P1-D5,HK-2X-P1-D6,HK-2X-P1-D7,HK-2X-P1-D9,HK-2X-P1-E1,HK-2X-P1-E10,HK-2X-P1-E11,HK-2X-P1-E2,HK-2X-P1-E3,HK-2X-P1-E5,HK-2X-P1-E6,HK-2X-P1-E7,HK-2X-P1-E9,HK-2X-P1-F1,HK-2X-P1-F10,HK-2X-P1-F11,HK-2X-P1-F2,HK-2X-P1-F3,HK-2X-P1-F5,HK-2X-P1-F6,HK-2X-P1-F7,HK-2X-P1-F9,HK-2X-P1-G1,HK-2X-P1-G10,HK-2X-P1-G11,HK-2X-P1-G2,HK-2X-P1-G3,HK-2X-P1-G5,HK-2X-P1-G6,HK-2X-P1-G7,HK-2X-P1-G9,HK-2X-P1-H1,HK-2X-P1-H10,HK-2X-P1-H11,HK-2X-P1-H2,HK-2X-P1-H3,HK-2X-P1-H5,HK-2X-P1-H6,HK-2X-P1-H7,HK-2X-P1-H9
,,472.1210,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3370159.51909299,,,3754647.11138471,3881964.60390548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6077693.32348465,,,6484657.31908179,7118459.25915639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10203.542799202,,,13588.4518005981,9670.06532690427,,,,,217301.444394609,,,370413.035792647,359453.885748277,32739.3149758453,,,,1153328.47619019,,,1161057.07191284,848306.365418942,51706.5646377867,,,,21563.1758154678,,,32378.6163249359,45770.0748798218,,,,
,,413.2129,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9816122.48647817,10911561.0151258,,,,,,10106017.9286448,,36541.371867096,,,,,,,155271.288722732,,,,,,,,,152703.319262726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489084.086221983,573102.942006912,,,,,,514169.805974305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102092.219264709,105345.044747604,,,,,,104330.450606384,,,,,,,,,,,,,,,,,,
,,410.2112,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91179.1003975675,175101.793299347,,,,,,78227.7534184876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20290.8182724914,,,,,,,,9711429.07612162,10599554.2060346,,,,,,9672266.33644754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75779.7908844909,85865.8185557862,,,,,,33905.13192202,,795699.214186936,1171614.33524227,,,,,,465234.974521668,,5734331.73626684,1356674.09652618,,,,,,1281035.25503938,,44906.0767507935,49831.2722798461,,,,,,65216.9126532593,,,,,,,,,
,,479.2068,4.82,,,,,,,,,,,7515.28021078488,,,,43041.5824189453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12334039.6448874,,,11726659.7993734,11560545.1941452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416866.309023404,,,955547.788851867,1038142.75284448,149055.642655151,,,,777752.762043451,,,416938.778235998,1176045.20958765,335074.702401872,,,,21134.4966315307,,,52818.5392495119,26679.9443035506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,404.2565,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3382414.94454872,3445572.99378998,3335437.33282761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6864253.68269345,6835544.12768403,6658885.07517331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7798.55572834398,8195.45214686198,8375.19246749685,,,,,,,54946.8640276138,81215.902975927,80611.4370756461,,,8357.46069515325,,,9724.65922409537,669306.777389353,739772.614246464,930883.762497271,209732.436483951,,,,,17255.5362588442,835122.385335198,1115680.11345214,1211489.41951864,208049.125908695,,,,,,29755.4594646098,73043.6906614914,141296.862757543,17662.3977534751,,,,,,,,,,,,,,,,,,
,,449.2313,2.78,,,,,,,,,,,10128876.4406174,,,9972500.880254,9418770.92747812,51492.266105545,28172.2146600799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32466.5341817017,,,23029.0524783325,19957.9673440933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27712.1801753235,,,30956.4609988861,30310.240939148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,530.1492,4.60,,,6780633.53067189,6755690.48466587,,,,,,6533111.43383565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7648346.91999083,7732323.25897666,,,,,,7751717.82760836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499985.78112497,2190947.95752979,,,,,19780.437058281,1307237.33748537,,107423.156796707,133787.63393396,,,,,,48199.2282389374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,99.0685,0.98,,5003623.8782742,4984281.0253797,4550222.14925425,4775790.71415748,5104692.56218648,5598378.69970823,5464418.87700593,5289045.95216782,5101145.71945997,5219891.95916871,5692483.6664455,5505590.13071851,5603358.70819464,6031325.55579597,6060409.42208055,5952219.71143084,6060259.27328401,6153535.18289896,5487034.25863918,5816151.11730728,5790224.76265707,5679830.10211293,5726408.36370958,5952699.46739565,5947985.93166426,6388119.27064898,6830559.93631536,5330736.68076548,5991374.69319343,5782482.73785684,5565709.53014896,5877219.73900862,6063776.8016815,6476554.59585225,6183421.25875688,5978816.16736246,5884994.13888783,5973543.82287697,5778368.61818936,5907216.2403135,5927450.2605121,6013232.62748423,5951455.17495024,5881806.83686403,6094191.48224536,4822654.75893967,5443813.98564883,5204533.21240395,5115596.38085063,5703815.8999149,5902309.75898104,6082588.22768768,6089462.33887997,6035045.29078243,5603202.68984841,4413095.66746861,4141766.43726866,5674756.43094258,5837129.55695888,5595987.78366285,5323521.000823,5724489.67806353,4649422.05656169,5074814.70584079,4657767.64758559,4979309.20701885,5166139.50288644,5214559.53995925,4896862.28124654,4921987.50675116,4707835.38045212,4919773.59946454,548983.804486265,534224.107204255,545541.122943731,522997.236296612,475082.023753087,503470.182531328,487187.720511565,505594.289315523,518585.561200652,512330.581683343,425072.526007756,441679.458636259,455790.358412444,447000.873754115,443440.625961934,450210.301516462,423457.277134926,453856.855161543,466761.548605473,426850.103781902,417253.787181961,457055.21275094,414176.929065571,411963.530641684,432593.454976546,401069.787415859,380958.136997666,415089.648616877,375613.333157545,342569.899709739,364855.105558952,344076.047582091,372219.775764121,385054.237026158,351218.97131307,334572.309160234,409023.002804741,358748.006258901,381722.349516438,389485.862599679,355822.547917319,370862.816279194,393142.791454401,359238.503285436,377203.017752716,458967.629477227,387977.212575159,401117.737801559,421920.439108895,389649.998883143,383193.393838599,389748.339356794,360767.628339597,371470.477472079,465720.624641009,491452.129017177,448072.981445128,450007.554229537,468438.216269295,413107.896670104,418749.404979721,409398.602985629,432163.50556134,475833.347977774,466515.735715364,413664.74264881,440549.079462158,466274.516590913,477979.487674174,447360.758614248,465669.814961257,460137.612743556,787372.84513046,861929.523184307,918847.270910309,888873.471810452,902650.297780632,919671.848104078,812039.458949188,900345.834874757,980292.335290907,786888.859553506,918924.580986702,897643.823324409,898495.110545351,838210.168448676,932681.832284312,882005.537048899,909844.863077477,838338.316238916,900223.159668348,875166.556764189,915808.632541894,896429.834999452,812321.757822585,868109.248286239,862651.810953196,821250.107529744,859821.846799178,806171.801312458,893473.67687628,866964.591638322,766584.969077562,764946.12013194,841804.263388718,799113.967121796,908398.651027714,202612.667368476,827654.226950976,846217.602777893,911137.535930545,879041.913745125,880778.502408447,893040.522022381,869554.129615645,917487.657464902,835735.83476006,823783.455940241,884588.873574435,869613.632939415,853097.881149328,818597.475802645,860128.059811423,828361.154645141,853141.551901472,880148.607618845,789551.877196377,958524.303256529,875430.675598773,929082.842887114,921386.807062387,879834.183777954,873181.475389879,895763.645341848,906415.301883665,891055.810057678,905057.681522569,896588.551974546,854622.641385298,881205.191038896,896906.064963045,917601.905262743,851503.411118227,908457.006459771
,,609.1751,13.22,,371918.322884033,509805.501247253,406443.897013977,492158.253369843,713056.097924668,824045.414045013,1165927.77180518,1188028.23930319,343627.742110458,147460.533385483,244586.615279816,116440.905711075,128916.761422913,90324.9648824463,117358.897141144,295124.666771942,818236.285791733,322640.795767113,115635.888750076,213932.563530563,102943.107829742,91609.3315122376,92631.2153980102,161476.067575928,102633.071877014,461710.225856751,276807.971654526,97885.1756732484,305710.54264296,174348.343202606,108644.643665619,101977.121774872,88750.3850736695,99812.4036253509,246863.923025543,283385.698303451,109075.949675629,495493.353783821,345052.592581787,117093.939590927,121707.16412661,119053.783900009,148253.600535812,345957.964277191,263860.564187271,143906.571721115,545499.229572701,537089.20254805,118143.197432266,109094.488978516,164520.889436325,274894.643702515,394756.914700195,328330.191040604,259348.225479324,577190.289924683,528140.970603332,204046.313078491,183266.616888916,306103.263600113,1263518.76822718,495809.057988159,419677.389167511,300153.680628769,811402.515450195,652399.883685577,205970.919785553,168455.375992889,288391.421663978,401069.280856209,527043.001295837,824233.262235748,,2950892.33201358,5267882.8392738,,,,,1715230.03222616,1943397.03369944,2889212.07201724,3411150.47101783,3706940.88344451,2806997.44158855,4226676.92078028,4016081.18944855,1275767.36747902,4096840.41696532,2663205.61890726,3684346.98184628,4065566.1736007,3615816.59866976,3564055.09849233,3417097.77015091,3525400.74740608,2969560.05418331,2207329.59467375,2729315.64944557,2553672.16169657,3038514.14708474,3218544.34266473,2472355.16996906,2846992.4273875,2930043.2099328,3881365.61454802,3218954.11161447,2059300.49211094,2674763.28720723,3576791.74053644,2460462.07478687,2377950.35302867,1823257.98732458,2340708.87865959,2800235.43766786,2451499.33185603,2039055.29848528,1694615.47493498,2896329.26881347,2547949.94722138,1686313.25286262,1536565.6912971,1814033.10782671,2669872.75796944,3115412.67262008,1572615.60570874,1809256.5947146,1426836.85415395,1544014.84971629,1921371.39191644,1781231.30943902,2177927.96248736,2291374.1512669,2219084.96560108,1064128.44017198,2227585.60771862,2221808.98547401,1972272.72018895,1551937.56480894,2148410.352927,2639263.62049913,84638.2881435112,88846.9681618918,1186875.77873676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,414.2058,7.13,,386992.308630568,283796.851276562,310629.668455094,352051.830033147,1767161.0905768,364906.885422782,336255.723191403,318927.331462306,315333.480722499,398882.390023823,257368.171823594,294308.562701658,379828.909441288,698974.877758517,369927.075271429,337843.509243548,339619.784947093,282753.075489639,352209.746041127,302853.342675378,325284.44007091,354942.133742731,318509.935244763,351228.82566859,324624.574810433,1379405.78296063,302907.097030487,342553.383201406,422187.602023143,345759.215172886,339536.255809483,415396.928963619,358214.886410473,366718.789781766,281383.523914328,351613.704855875,392965.236112059,363357.364102567,345924.947325347,325927.472787187,362558.870289703,311611.970540698,324837.855379771,300522.208351483,356373.280535508,384334.084035327,301431.34292851,333906.514637139,351669.835611577,286427.863451122,318718.912079388,312099.361795047,307618.173072298,316491.768951095,352037.278705855,235997.386144796,278931.337045042,269437.514716725,259088.527197204,322451.211542435,320638.106606914,311940.187040598,303745.113460227,338370.879632786,267398.59350161,321659.61565483,319291.918692443,271503.900403061,344324.209284063,372403.801715545,375241.507003673,321674.519980929,880469.719462097,687901.535050186,652202.358581413,837713.325581912,5018184.43550581,865972.181209603,775793.557808964,734101.643941296,717127.988204302,901605.019642388,601911.360263652,559010.687297072,753511.485857761,2345144.90161966,738269.520525839,686831.83809007,670886.384978053,555602.912464337,756149.441370389,785574.98962531,686484.765585252,763755.547142775,699742.018195764,734189.286402625,747091.32930027,3549924.98685909,645598.888966098,656782.042560936,955623.467611394,689993.306813115,703366.107127953,857205.630594275,696573.317125322,757355.591707158,583053.38275531,711092.512448645,792462.55025214,801211.870857015,711117.651740848,626028.918827395,758726.507895104,620209.611926757,703124.375579433,615617.297177244,695140.345124835,858883.756728773,621939.79160793,734819.264096817,648434.418310599,650473.719447013,674181.78441607,627725.097605383,651378.683671271,627749.713824508,744347.633175151,580029.719338741,598685.146423954,659783.23349769,585144.439552763,629282.028461764,739733.566264229,676985.723752505,649719.016573884,738881.586868471,583158.663122965,636044.443969311,654403.313948858,565627.04906114,712292.049235789,900573.347663075,862794.399890991,707407.498649211,317126.914195121,246577.109294023,226385.428501575,298499.139501676,604306.758810251,293219.067763196,300998.877456467,292309.9155272,273225.874261778,290060.006339252,232551.604623565,217183.463726403,269753.490639276,419326.449743621,283598.012935924,292327.393766467,303140.589845625,256066.914986455,296729.550921827,285170.115075371,246320.761127407,272393.118948417,235398.296224055,271815.331694556,274387.183514798,748725.556522976,242746.723850252,291740.072275012,274226.239308532,234228.668237887,247220.410903519,287018.35515292,265860.969385927,321190.368627198,271815.512462601,255290.60241355,263145.457170231,260738.941839182,232090.406306779,297067.108975563,340980.547578861,268796.412658485,272777.850340806,271349.684999453,235390.545469295,287024.105297612,205628.116467239,243037.684726327,255028.222074391,190493.798452349,246872.253972419,222248.698240115,229040.021238596,229397.954320092,237048.091324631,194663.030692527,214690.356432751,204907.166044608,184070.758615794,246030.95578673,217096.232120754,238722.005092962,228835.563127803,251745.339431321,205454.731802199,222424.41320807,225343.219971429,164517.676093361,249960.146202541,267247.776719311,267648.869763089,218789.65190785
