"Compound Name","Formula","Mass","RT","CAS ID",HK-2X-P1-A1,HK-2X-P1-A10,HK-2X-P1-A11,HK-2X-P1-A2,HK-2X-P1-A3,HK-2X-P1-A5,HK-2X-P1-A6,HK-2X-P1-A7,HK-2X-P1-A9,HK-2X-P1-B1,HK-2X-P1-B10,HK-2X-P1-B11,HK-2X-P1-B2,HK-2X-P1-B3,HK-2X-P1-B5,HK-2X-P1-B6,HK-2X-P1-B7,HK-2X-P1-B9,HK-2X-P1-C1,HK-2X-P1-C10,HK-2X-P1-C11,HK-2X-P1-C2,HK-2X-P1-C3,HK-2X-P1-C5,HK-2X-P1-C6,HK-2X-P1-C7,HK-2X-P1-C9,HK-2X-P1-D1,HK-2X-P1-D10,HK-2X-P1-D11,HK-2X-P1-D2,HK-2X-P1-D3,HK-2X-P1-D5,HK-2X-P1-D6,HK-2X-P1-D7,HK-2X-P1-D9,HK-2X-P1-E1,HK-2X-P1-E10,HK-2X-P1-E11,HK-2X-P1-E2,HK-2X-P1-E3,HK-2X-P1-E5,HK-2X-P1-E6,HK-2X-P1-E7,HK-2X-P1-E9,HK-2X-P1-F1,HK-2X-P1-F10,HK-2X-P1-F11,HK-2X-P1-F2,HK-2X-P1-F3,HK-2X-P1-F5,HK-2X-P1-F6,HK-2X-P1-F7,HK-2X-P1-F9,HK-2X-P1-G1,HK-2X-P1-G10,HK-2X-P1-G11,HK-2X-P1-G2,HK-2X-P1-G3,HK-2X-P1-G5,HK-2X-P1-G6,HK-2X-P1-G7,HK-2X-P1-G9,HK-2X-P1-H1,HK-2X-P1-H10,HK-2X-P1-H11,HK-2X-P1-H2,HK-2X-P1-H3,HK-2X-P1-H5,HK-2X-P1-H6,HK-2X-P1-H7,HK-2X-P1-H9,BG-2X-P2-A1,BG-2X-P2-A10,BG-2X-P2-A11,BG-2X-P2-A2,BG-2X-P2-A3,BG-2X-P2-A5,BG-2X-P2-A6,BG-2X-P2-A7,BG-2X-P2-A9,BG-2X-P2-B1,BG-2X-P2-B10,BG-2X-P2-B11,BG-2X-P2-B2,BG-2X-P2-B3,BG-2X-P2-B5,BG-2X-P2--B6,BG-2X-P2-B7,BG-2X-P2-B9,BG-2X-P2-C1,BG-2X-P2-C10,BG-2X-P2-C11,BG-2X-P2-C2,BG-2X-P2-C3,BG-2X-P2-C5,BG-2X-P2-C6,BG-2X-P2-C7,BG-2X-P2-C9,BG-2X-P2-D1,BG-2X-P2-D10,BG-2X-P2--D11,BG-2X-P2-D2,BG-2X-P2-D3,BG-2X-P2-D5,BG-2X-P2-D6,BG-2X-P2-D7,BG-2X-P2-D9,BG-2X-P2-E1,BG-2X-P2-E10,BG-2X-P2-E11,BG-2X-P2-E2,BG-2X-P2-E3,BG-2X-P2-E5,BG-2X-P2-E6,BG-2X-P2-E7,BG-2X-P2-E9,BG-2X-P2-F1,BG-2X-P2-F10,BG-2X-P2-F11,BG-2X-P2-F2,BG-2X-P2-F3,BG-2X-P2-F5,BG-2X-P2-F6,BG-2X-P2-F7,BG-2X-P2-F9,BG-2X-P2-G1,BG-2X-P2-G10,BG-2X-P2-G11,BG-2X-P2-G2,BG-2X-P2-G3,BG-2X-P2-G5,BG-2X-P2-G6,BG-2X-P2-G7,BG-2X-P2-G9,BG-2X-P2-H1,BG-2X-P2-H10,BG-2X-P2-H11,BG-2X-P2-H2,BG-2X-P2-H3,BG-2X-P2-H5,BG-2X-P2-H6,BG-2X-P2-H7,BG-2X-P2-H9,D14-2X-P2-A1,D14-2X-P2-A10,D14-2X-P2-A11,D14-2X-P2-A2,D14-2X-P2-A3,D14-2X-P2-A5,D14-2X-P2-A6,D14-2X-P2-A7,D14-2X-P2-A9,D14-2X-P2-B1,D14-2X-P2-B10,D14-2X-P2-B11,D14-2X-P2-B2,D14-2X-P2-B3,D14-2X-P2-B5,D14-2X-P2-B6,D14-2X-P2-B7,D14-2X-P2-B9,D14-2X-P2-C1,D14-2X-P2-C10,D14-2X-P2-C11,D14-2X-P2-C2,D14-2X-P2-C3,D14-2X-P2-C5,D14-2X-P2-C6,D14-2X-P2-C7,D14-2X-P2-C9,D14-2X-P2-D1,D14-2X-P2-D10,D14-2X-P2-D11,D14-2X-P2-D2,D14-2X-P2-D3,D14-2X-P2-D5,D14-2X-P2-D6,D14-2X-P2-D7,D14-2X-P2-D9,D14-2X-P2-E1,D14-2X-P2-E10,D14-2X-P2-E11,D14-2X-P2-E2,D14-2X-P2-E3,D14-2X-P2-E5,D14-2X-P2-E6,D14-2X-P2-E7,D14-2X-P2-E9,D14-2X-P2-F1,D14-2X-P2-F10,D14-2X-P2-F11,D14-2X-P2-F2,D14-2X-P2-F3,D14-2X-P2-F5,D14-2X-P2-F6,D14-2X-P2-F7,D14-2X-P2-F9,D14-2X-P2-G1,D14-2X-P2-G10,D14-2X-P2-G11,D14-2X-P2-G2,D14-2X-P2-G3,D14-2X-P2-G5,D14-2X-P2-G6,D14-2X-P2-G7,D14-2X-P2-G9,D14-2X-P2-H1,D14-2X-P2-H10,D14-2X-P2-H11,D14-2X-P2-H2,D14-2X-P2-H3,D14-2X-P2-H5,D14-2X-P2-H6,D14-2X-P2-H7,D14-2X-P2-H9
,,472.1238,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21055.3378403321,,,28011.4651345824,17959.2342668151,,,,,422692.507728258,,,735711.500076703,709844.207304386,60647.3028295898,,,,2257918.07299805,,,2273160.08175293,1659046.90973046,100246.799391723,,,,44146.2963805541,,,61837.5143748016,87818.2287703858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12474624.3010298,,,13348970.0915851,14754704.083099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4130515.90068269,,,6281054.67932106,6514900.76623573,,,,,,,,,,,,,
,,410.2129,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75779.7908844909,85865.8185557862,,,,,,33905.13192202,,795699.214186936,1171614.33524227,,,,,,465234.974521668,,5734645.85641651,1356732.62342579,,,,,,1280163.88851204,,44906.0767507935,49831.2722798461,,,,,,65216.9126532593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20290.8182724914,,,,,,,,9708994.81216881,10599352.2576243,,,,,,9672209.12908367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174382.01095532,1697877.73072201,,,,,,1039135.23819241,,,,,,,,,,,,,,,,,,
,,479.2066,4.81,,416866.309023404,,,955547.788851867,1038142.75284448,149055.642655151,,,,777752.762043451,,,416938.778235998,1176045.20958765,335074.702401872,,,,21134.4966315307,,,52818.5392495119,26679.9443035506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12334039.6448874,,,11726659.7993734,11560545.1941452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74385.4491427919,,,38824.464563385,25478.6331496582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,413.2126,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102092.219264709,101421.289395187,,,,,,104330.450606384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489084.086221983,573102.942006912,,,,,,514169.805974305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9282718.54277766,9714089.48688312,,,,,,9417369.06245483,,,,,,,,,,,,,,,,,,
,,404.2567,8.60,,,,,,,,,,,,,,,,7704.46615158846,8570.87860108371,8375.19246749685,,,,,,,54946.8640276138,81215.902975927,80611.4370756461,,,8357.46069515325,,,9488.42706300071,669306.777389353,739772.614246464,930883.762497271,209732.436483951,,,,,17255.5362588442,835122.385335198,1115680.11345214,1211489.41951864,208049.125908695,,,,,,29755.4594646098,73043.6906614914,141296.862757543,17662.3977534751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6864253.68269345,6835544.12768403,6658885.07517331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4304914.17292231,3973007.44282786,4130549.26126271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,530.1487,4.60,,,1499985.78112497,2190947.95752979,,,,,19780.437058281,1307234.2351867,,107423.156796707,133787.63393396,,,,,,48199.2282389374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7648327.2867675,7732312.99350233,,,,,,7751679.79077095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6632658.96384273,6506025.61858809,,,,,,6495280.15392896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,449.2326,2.77,,,,,,,,,,,20548.2413760071,,,23574.5268779144,23592.5879205933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24131.8550328369,,,18059.8019943237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6326011.19584696,,,6884482.01199358,7257740.82187198,37628.3421331024,,,,51167.3948631821,,,54346.1120911102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,609.1773,13.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950892.33201358,5267882.8392738,,,,,1715230.03222616,1943397.03369944,2889212.07201724,3406194.43174916,3706940.88344451,2806997.44158855,4226676.92078028,4016081.18944855,1275767.36747902,4096840.41696532,2663205.61890726,3684346.98184628,4065566.1736007,3615816.59866976,3571665.43408738,3417097.77015091,3525400.74740608,2969560.05418331,2207329.59467375,2729315.64944557,2553672.16169657,3035939.66765902,3218544.34266473,2472355.16996906,2846992.4273875,2930043.2099328,3881365.61454802,3218954.11161447,2059300.49211094,2674071.95228536,3576791.74053644,2460462.07478687,2377950.35302867,1823257.98732458,2340708.87865959,2800235.43766786,2451499.33185603,2039055.29848528,1694615.47493498,2896329.26881347,2547949.94722138,1686313.25286262,1536565.6912971,1814033.10782671,2669872.75796944,3115412.67262008,1572615.60570874,1809256.5947146,1426836.85415395,1544014.84971629,1921371.39191644,1781231.30943902,2177927.96248736,2291374.1512669,2219084.96560108,1064128.44017198,2226872.28172042,2221808.98547401,1972272.72018895,1551937.56480894,2148410.352927,2639263.62049913,84638.2881435112,88846.9681618918,1186875.77873676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,414.2057,7.12,,318136.295060629,246577.109294023,223899.666560287,298499.139501676,604306.758810251,293219.067763196,300998.877456467,292309.9155272,273225.874261778,290060.006339252,232551.604623565,217183.463726403,269753.490639276,419326.449743621,283598.012935924,292327.393766467,303140.589845625,256066.914986455,296729.550921827,285170.115075371,246320.761127407,272393.118948417,235398.296224055,271815.331694556,274387.183514798,748725.556522976,242746.723850252,291740.072275012,274226.239308532,234228.668237887,247220.410903519,287018.35515292,265860.969385927,321190.368627198,271815.512462601,255290.60241355,263145.457170231,260738.941839182,232090.406306779,297067.108975563,340980.547578861,268796.412658485,272777.850340806,271349.684999453,235390.545469295,287024.105297612,205628.116467239,243037.684726327,242703.856694444,190493.798452349,246872.253972419,222248.698240115,229040.021238596,229397.954320092,237048.091324631,194663.030692527,214690.356432751,204902.688208465,184070.758615794,246150.46634678,216708.475455009,238722.005092962,228835.563127803,251745.339431321,205454.731802199,222424.41320807,225343.219971429,164517.676093361,249960.146202541,267247.776719311,267648.869763089,218899.439423153,880469.719462097,687901.535050186,652202.358581413,837713.325581912,5018184.43550581,865972.181209603,774317.831762419,734101.643941296,717127.988204302,901605.019642388,601911.360263652,731505.788452711,753511.485857761,2345144.90161966,738269.520525839,686831.83809007,671147.764236847,555602.912464337,756103.287869063,779534.981569448,686443.295867615,752809.655773536,699742.018195764,734189.286402625,747091.32930027,3549924.98685909,645598.888966098,657045.858298704,955623.467611394,689993.306813115,703366.107127953,856911.373338543,696573.317125322,757355.591707158,583053.38275531,711092.512448645,792462.55025214,801211.870857015,710445.354526025,626028.918827395,758348.324578464,620209.611926757,703124.375579433,615617.297177244,695140.345124835,858883.756728773,621939.79160793,734819.264096817,648340.944280411,650473.719447013,674181.78441607,627725.097605383,651378.683671271,630116.675166241,744347.633175151,580029.719338741,598685.146423954,659783.23349769,585144.439552763,629282.028461764,739733.566264229,677132.645505504,649719.016573884,738881.586868471,580385.58927401,636024.091858914,654403.313948858,566432.57703374,712292.049235789,900573.347663075,862794.399890991,707407.498649211,240770.114711052,149808.489683874,141852.835101364,203220.319228257,817662.65780371,222264.136963412,227587.431804406,209238.686034168,207590.523826907,206240.339324694,158584.072848824,140040.416302949,194672.99815877,445595.532718909,231626.72621121,216086.4218701,210961.701460025,194887.456366156,218757.436423393,213285.811028107,157418.673678048,209063.988691224,176963.249095401,211730.993827054,213280.343714825,487343.419388334,176131.838652587,250124.825122478,235066.847964636,189271.319378876,209313.204853871,245882.94496867,217892.594630496,254460.636096357,197724.831076594,173518.179728456,213434.165608417,227633.008641671,196714.656317079,251804.172135108,302092.984890826,191140.898781203,209977.392800258,208113.066383897,201244.358546243,252235.190027383,173516.711155413,187405.649845094,206849.440487352,162254.546370744,185181.734712348,170501.00250326,198483.951453435,184427.017697486,197412.105459672,148519.953374187,170857.199144391,165559.569139628,126572.592912469,212050.540823908,185883.860077559,171158.277359431,167914.494598239,196356.327380609,210159.846322529,234060.906787294,172462.911640533,132499.232955637,223751.32179607,245866.472382453,271844.363394229,217029.462828672
,,433.2112,4.27,,9332.53870562885,,,28891.2841537378,54287.7305436509,9080.26617122839,,,,191933.498097031,,,346293.075090664,303814.55728395,127289.047132799,,,,2716740.46641968,,,2648414.98517912,2569825.71642987,52355.8363971244,7856.39999162578,,,13238.1594084882,,,12243.0337185793,8998.3719978676,21995.4574914315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4084777.91202523,,,4284793.9809263,4110121.02275234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639047.12933373,,,1429686.25074657,1238592.61349064,,,,,20612.8706409643,,,,17679.0259807777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
