"Compound Name","Formula","Mass","RT","CAS ID",HK-2X-P1-A1,HK-2X-P1-A10,HK-2X-P1-A11,HK-2X-P1-A2,HK-2X-P1-A3,HK-2X-P1-A5,HK-2X-P1-A6,HK-2X-P1-A7,HK-2X-P1-A9,HK-2X-P1-B1,HK-2X-P1-B10,HK-2X-P1-B11,HK-2X-P1-B2,HK-2X-P1-B3,HK-2X-P1-B5,HK-2X-P1-B6,HK-2X-P1-B7,HK-2X-P1-B9,HK-2X-P1-C1,HK-2X-P1-C10,HK-2X-P1-C11,HK-2X-P1-C2,HK-2X-P1-C3,HK-2X-P1-C5,HK-2X-P1-C6,HK-2X-P1-C7,HK-2X-P1-C9,HK-2X-P1-D1,HK-2X-P1-D10,HK-2X-P1-D11,HK-2X-P1-D2,HK-2X-P1-D3,HK-2X-P1-D5,HK-2X-P1-D6,HK-2X-P1-D7,HK-2X-P1-D9,HK-2X-P1-E1,HK-2X-P1-E10,HK-2X-P1-E11,HK-2X-P1-E2,HK-2X-P1-E3,HK-2X-P1-E5,HK-2X-P1-E6,HK-2X-P1-E7,HK-2X-P1-E9,HK-2X-P1-F1,HK-2X-P1-F10,HK-2X-P1-F11,HK-2X-P1-F2,HK-2X-P1-F3,HK-2X-P1-F5,HK-2X-P1-F6,HK-2X-P1-F7,HK-2X-P1-F9,HK-2X-P1-G1,HK-2X-P1-G10,HK-2X-P1-G11,HK-2X-P1-G2,HK-2X-P1-G3,HK-2X-P1-G5,HK-2X-P1-G6,HK-2X-P1-G7,HK-2X-P1-G9,HK-2X-P1-H1,HK-2X-P1-H10,HK-2X-P1-H11,HK-2X-P1-H2,HK-2X-P1-H3,HK-2X-P1-H5,HK-2X-P1-H6,HK-2X-P1-H7,HK-2X-P1-H9,BG-2X-P2-A1,BG-2X-P2-A10,BG-2X-P2-A11,BG-2X-P2-A2,BG-2X-P2-A3,BG-2X-P2-A5,BG-2X-P2-A6,BG-2X-P2-A7,BG-2X-P2-A9,BG-2X-P2-B1,BG-2X-P2-B10,BG-2X-P2-B11,BG-2X-P2-B2,BG-2X-P2-B3,BG-2X-P2-B5,BG-2X-P2--B6,BG-2X-P2-B7,BG-2X-P2-B9,BG-2X-P2-C1,BG-2X-P2-C10,BG-2X-P2-C11,BG-2X-P2-C2,BG-2X-P2-C3,BG-2X-P2-C5,BG-2X-P2-C6,BG-2X-P2-C7,BG-2X-P2-C9,BG-2X-P2-D1,BG-2X-P2-D10,BG-2X-P2--D11,BG-2X-P2-D2,BG-2X-P2-D3,BG-2X-P2-D5,BG-2X-P2-D6,BG-2X-P2-D7,BG-2X-P2-D9,BG-2X-P2-E1,BG-2X-P2-E10,BG-2X-P2-E11,BG-2X-P2-E2,BG-2X-P2-E3,BG-2X-P2-E5,BG-2X-P2-E6,BG-2X-P2-E7,BG-2X-P2-E9,BG-2X-P2-F1,BG-2X-P2-F10,BG-2X-P2-F11,BG-2X-P2-F2,BG-2X-P2-F3,BG-2X-P2-F5,BG-2X-P2-F6,BG-2X-P2-F7,BG-2X-P2-F9,BG-2X-P2-G1,BG-2X-P2-G10,BG-2X-P2-G11,BG-2X-P2-G2,BG-2X-P2-G3,BG-2X-P2-G5,BG-2X-P2-G6,BG-2X-P2-G7,BG-2X-P2-G9,BG-2X-P2-H1,BG-2X-P2-H10,BG-2X-P2-H11,BG-2X-P2-H2,BG-2X-P2-H3,BG-2X-P2-H5,BG-2X-P2-H6,BG-2X-P2-H7,BG-2X-P2-H9,D4-2X-P1-A1,D4-2X-P1-A10,D4-2X-P1-A11,D4-2X-P1-A2,D4-2X-P1-A3,D4-2X-P1-A5,D4-2X-P1-A6,D4-2X-P1-A7,D4-2X-P1-A9,D4-2X-P1-B1,D4-2X-P1-B10,D4-2X-P1-B11,D4-2X-P1-B2,D4-2X-P1-B3,D4-2X-P1-B5,D4-2X-P1-B6,D4-2X-P1-B7,D4-2X-P1-B9,D4-2X-P1-C1,D4-2X-P1-C10,D4-2X-P1-C11,D4-2X-P1-C2,D4-2X-P1-C3,D4-2X-P1-C5,D4-2X-P1-C6,D4-2X-P1-C7,D4-2X-P1-C9,D4-2X-P1-D1,D4-2X-P1-D10,D4-2X-P1-D11,D4-2X-P1-D2,D4-2X-P1-D3,D4-2X-P1-D5,D4-2X-P1-D6,D4-2X-P1-D7,D4-2X-P1-D9,D4-2X-P1-E1,D4-2X-P1-E10,D4-2X-P1-E11,D4-2X-P1-E2,D4-2X-P1-E3,D4-2X-P1-E5,D4-2X-P1-E6,D4-2X-P1-E7,D4-2X-P1-E9,D4-2X-P1-F1,D4-2X-P1-F10,D4-2X-P1-F11,D4-2X-P1-F2,D4-2X-P1-F3,D4-2X-P1-F5,D4-2X-P1-F6,D4-2X-P1-F7,D4-2X-P1-F9,D4-2X-P1-G1,D4-2X-P1-G10,D4-2X-P1-G11,D4-2X-P1-G2,D4-2X-P1-G3,D4-2X-P1-G5,D4-2X-P1-G6,D4-2X-P1-G7,D4-2X-P1-G9,D4-2X-P1-H1,D4-2X-P1-H10,D4-2X-P1-H11,D4-2X-P1-H2,D4-2X-P1-H3,D4-2X-P1-H5,D4-2X-P1-H6,D4-2X-P1-H7,D4-2X-P1-H9
,,472.1210,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10203.542799202,,,13588.4518005981,9670.06532690427,,,,,217301.444394609,,,370413.035792647,359453.885748277,32739.3149758453,,,,1153328.47619019,,,1161057.07191284,848306.365418942,51706.5646377867,,,,21563.1758154678,,,32378.6163249359,45770.0748798218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6077693.32348465,,,6484657.31908179,7118459.25915639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2759204.30349267,,,3258948.30629792,3653098.82449049,,,,,,,,,,,,,
,,413.2132,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102092.219264709,105171.822540085,,,,,,104330.450606384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489084.086221983,572433.153743728,,,,,,514169.805974305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11947681.0235065,2617240.0739605,,,,,,11995308.8092995,,,,,,,,,,,,,,,,,,
,,410.2122,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75779.7908844909,85865.8185557862,,,,,,33905.13192202,,795699.214186936,1171614.33524227,,,,,,465234.974521668,,5734331.73626684,1356674.09652618,,,,,,1281035.25503938,,44906.0767507935,49831.2722798461,,,,,,65216.9126532593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20290.8182724914,,,,,,,,9711429.07612162,10599554.2060346,,,,,,9672266.33644754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4825.75855215455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6338.24708448025,,,,,,
,,479.2068,4.81,,416866.309023404,,,955547.788851867,1038142.75284448,149055.642655151,,,,777752.762043451,,,416938.778235998,1176045.20958765,335074.702401872,,,,21134.4966315307,,,52818.5392495119,26679.9443035506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12334039.6448874,,,11726659.7993734,11560545.1941452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,449.2316,2.78,,,,,,,,,,,27712.1801753235,,,30956.4609988861,30670.239164856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32466.5341817017,,,23029.0524783325,19957.9673440933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11269485.4768782,,,11322942.2214189,11486218.3854697,60809.8530049591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,404.2613,8.60,,,,,,,,,,,,,,,,7704.46615158846,8570.87860108371,8143.9304667339,,,,,,,54946.8640276138,81431.3964517266,80611.4370756461,,,8357.46069515325,,,9488.42706300071,669500.790682657,740491.505025639,930883.762497271,209732.436483951,,,,,17255.5362588442,835122.385335198,1115680.11345214,1211489.41951864,208049.125908695,,,,,,29501.1895238191,73043.6906614914,141296.862757543,17662.3977534751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6864253.68269345,6835544.12768403,6658885.07517331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5355675.993416,4716361.63440968,5150853.87277036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,530.1482,4.60,,,1499985.78112497,2190947.95752979,,,,,19780.437058281,1307234.2351867,,107423.156796707,133787.63393396,,,,,,48199.2282389374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7648327.2867675,7732312.99350233,,,,,,7751679.79077095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7365481.58647423,7467550.50170957,,,,,,7543567.19908115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,609.1768,13.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2953084.07325055,5267164.44233745,,,,,1714058.02031631,1942222.50940708,2889212.07201724,3401012.06729756,3693555.50547799,4588312.95416505,2618939.33567068,4014101.88926411,2862257.98772035,4097455.19897775,2661408.55627738,3683978.66905017,4080679.72335058,3615869.80423977,3583132.25998693,3416239.74372403,3525898.46060861,4193561.8338194,4268514.01056116,2725644.16381297,2553672.16169657,3038302.04442866,3220090.67558937,2713171.3624816,2834042.18674943,2930816.44552037,3881732.29173213,1806134.5321645,2059300.49211094,2673591.98579915,3576791.74053644,2460462.07478687,2381609.8649591,1823076.88246854,2340708.87865959,2800235.43766786,2451716.94850279,2039055.29848528,1695083.38382191,2900494.06011733,2547949.94722138,1686313.25286262,1530440.61188799,1815040.14296711,2671167.80579184,3114918.96235745,1570861.36259218,1809256.5947146,1426586.68709405,1544636.98654968,1921785.2870271,1781631.13366252,2176567.43377989,2292173.17974538,2220190.51245744,924818.985581694,2226570.92685093,2215538.02050625,1971986.47501714,1551829.50408988,2148016.21881758,2639225.13882669,84275.6733406578,89862.1656067209,1186904.4774972,,1116019.43964759,793977.520864655,,,,,1249583.65687536,351004.477886963,570055.420100739,554925.38601886,437065.532940693,469766.150772934,371227.008216049,357976.76296035,493164.759130676,607430.422066788,426052.826103134,200673.040402252,576008.346012451,408022.734738312,133238.163762466,106338.620663635,133128.000184159,310978.705507473,570385.720730469,511500.423286102,118150.066936478,387506.899653794,166119.45802016,82935.0351465455,74751.4660498657,92958.6009891205,196085.700717957,299335.171740235,278595.760052154,112992.417415527,,23337.7918007807,103536.596754257,100933.741607727,88451.2202904053,233934.801306671,405969.375773743,45828.470407227,,,,,,,25526.6169843756,,,19935.3506015621,545221.506755676,178433.223401367,,203433.264244537,274356.975040298,352459.758748779,463807.834806931,377638.87162291,223133.040896484,910236.763962021,413249.775618164,11025.3179171329,11269.7594340315,401137.314339814,492535.611569052,537680.058769043,610386.078722626
,,414.2056,7.12,,318136.295060629,246577.109294023,223899.666560287,298499.139501676,604306.758810251,293219.067763196,300951.590371563,292309.9155272,273225.874261778,290060.006339252,232551.604623565,217183.463726403,269753.490639276,419326.449743621,283555.111454531,292327.393766467,303140.589845625,256066.914986455,296729.550921827,285177.731090789,246320.761127407,272393.118948417,235398.296224055,271815.331694556,274387.183514798,748725.556522976,242746.723850252,291740.072275012,274226.239308532,234228.668237887,247220.410903519,287018.35515292,265860.969385927,321190.368627198,271815.512462601,255290.60241355,263145.457170231,260738.941839182,232090.406306779,297067.108975563,340980.547578861,268796.412658485,272777.850340806,271349.684999453,235390.545469295,287024.105297612,205628.116467239,243037.684726327,242703.856694444,190493.798452349,246872.253972419,222248.698240115,229040.021238596,229397.954320092,237048.091324631,194663.030692527,214690.356432751,204902.688208465,184070.758615794,246236.091043594,216708.475455009,238722.005092962,228835.563127803,251745.339431321,205454.731802199,222424.41320807,225343.219971429,164486.493924656,249960.146202541,267247.776719311,267648.869763089,218899.439423153,880469.719462097,687901.535050186,652202.358581413,837713.325581912,5018202.20742149,865972.181209603,774317.831762419,734101.643941296,717127.988204302,901605.019642388,601911.360263652,731505.788452711,753511.485857761,2345144.90161966,738269.520525839,686831.83809007,671147.764236847,555602.912464337,756103.287869063,779534.981569448,686443.295867615,752809.655773536,699742.018195764,734189.286402625,747091.32930027,3549924.98685909,645598.888966098,657045.858298704,955623.467611394,689993.306813115,703366.107127953,856911.373338543,696573.317125322,757355.591707158,583053.38275531,711092.512448645,792462.55025214,801211.870857015,710445.354526025,626028.918827395,758348.324578464,620209.611926757,703124.375579433,615617.297177244,695140.345124835,858883.756728773,621939.79160793,734819.264096817,648340.944280411,650473.719447013,674181.78441607,627725.097605383,651378.683671271,630116.675166241,744347.633175151,580029.719338741,598685.146423954,659783.23349769,585144.439552763,629282.028461764,739733.566264229,677132.645505504,649578.728267439,738881.586868471,580385.58927401,636024.091858914,654403.313948858,566432.57703374,712292.049235789,900573.347663075,862794.399890991,707407.498649211,673787.224942797,428705.879854526,536655.405610169,618071.087824553,4292938.51963522,643051.110005792,542292.401904237,580546.85762413,540973.746421678,589720.882319446,341572.216562836,395995.341378334,525827.225304126,1417530.56681108,468136.575071713,438113.6133836,415634.268956831,351783.841118846,501400.13853745,575812.61318476,431741.350529329,500825.871511438,450084.001654895,530045.781776262,506742.198340941,2814226.41019295,431724.677630636,502959.536526536,704527.738179603,509018.832988622,537490.73881745,654171.878136898,477067.279753018,579311.400338946,421403.412243933,473974.536495951,563761.98629532,621852.130843542,535908.813484631,538704.506300622,596066.947930724,465173.065809221,484238.659700208,477500.392948197,580443.456480553,608761.948986184,436956.502017221,524844.830590353,479932.066248501,395322.264195191,441125.190307098,448028.784615826,445865.214685394,482698.086474844,527648.76561434,334724.299537094,427171.062746479,442865.807142187,431174.246239158,460297.997236271,473566.440851552,455158.285155395,431382.221994678,520895.47396475,402197.05813887,526551.933218268,489995.607467175,408455.178820388,528583.552056491,618217.172716953,690135.97203402,507535.352264444
,,131.0824,0.66,,394788.334320877,644972.657813844,996547.938381775,440679.417141174,561626.801859253,686518.782937973,383259.081259216,192949.238482864,1247185.1841396,503576.245436707,470497.969432816,389413.330866821,485018.559214874,292039.981200195,801659.317792694,165270.690985748,372261.687173065,374190.29778067,468148.776535766,1099145.77911849,629141.179921936,983417.221709747,417933.163446045,326592.51245488,601698.642293335,310683.237601898,1005635.25562788,398758.069951813,384277.695747619,375430.485773803,102926.720307312,112930.660894867,399021.27149794,152667.102110062,155154.933902344,224236.67209668,387508.862585427,553958.072622986,347165.409313843,450490.83806221,621780.031747559,459041.313975037,542750.326674316,383925.228838806,375030.737728485,110736.922495789,120295.52129744,164796.215575623,131170.191725006,213430.774319183,162235.32022168,87672.1357993164,113172.062782272,267418.85078524,254819.812521789,594266.547745941,243502.214941101,636772.978962647,820178.235977112,643711.064260422,164129.359835998,215628.425085671,188855.306395508,276740.548189942,300772.735335663,231871.754386719,258532.721045868,929872.847210938,269890.754023193,505575.038716309,535289.438670044,370386.610013108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689351.788513641,486348.804940674,606714.14000397,389017.032740433,532137.18321344,645830.951143463,706677.249908631,500746.681370118,451961.033647697,459985.081955261,343492.793878235,194237.850010162,144514.44026831,360619.885531449,762912.609596801,183270.033006256,1799224.02013748,741327.644821899,1036188.55219119,1053893.71577621,1430697.25312001,53460.9149902954,154752.526500275,1264149.6841982,308812.99492601,732714.044193024,921612.962220078,1634900.49795558,5683888.9681553,4838294.58796877,2832609.53412938,5202242.26596245,4368522.13033115,2226360.23740158,4232345.86273764,6759536.49425171,316740.97018306,145473.469129028,522107.465033722,624548.015281066,1324223.2001803,88576.6907619018,675825.16347525,1018499.53484155,56587.713347763,441427.55143042,49261.8146099853,1007887.31612982,1306636.83095114,1586948.8258091,429396.875357926,54528.3138067627,92406.868174408,46687.3419020081,1307721.50326825,975659.67482898,1007653.9405943,92957.3217208861,190860.998859314,1445213.60867364,47879.9676118163,1534319.23258663,918832.655637451,98172.7291741334,89093.7146291198,456884.652904022,88552.0846775666,96873.1032201843,475645.446158798,80193.3666498031,95396.1605924072,82153.2843384858
