"Compound Name","Formula","Mass","RT","CAS ID",D3-2X-P1-A1,D3-2X-P1-A10,D3-2X-P1-A11,D3-2X-P1-A2,D3-2X-P1-A3,D3-2X-P1-A5,D3-2X-P1-A6,D3-2X-P1-A7,D3-2X-P1-A9,D3-2X-P1-B1,D3-2X-P1-B10,D3-2X-P1-B11,D3-2X-P1-B2,D3-2X-P1-B3,D3-2X-P1-B5,D3-2X-P1-B6,D3-2X-P1-B7,D3-2X-P1-B9,D3-2X-P1-C1,D3-2X-P1-C10,D3-2X-P1-C11,D3-2X-P1-C2,D3-2X-P1-C3,D3-2X-P1-C5,D3-2X-P1-C6,D3-2X-P1-C7,D3-2X-P1-C9,D3-2X-P1-D1,D3-2X-P1-D10,D3-2X-P1-D11,D3-2X-P1-D2,D3-2X-P1-D3,D3-2X-P1-D5,D3-2X-P1-D6,D3-2X-P1-D7,D3-2X-P1-D9,D3-2X-P1-E1,D3-2X-P1-E10,D3-2X-P1-E11,D3-2X-P1-E2,D3-2X-P1-E3,D3-2X-P1-E5,D3-2X-P1-E6,D3-2X-P1-E7,D3-2X-P1-E9,D3-2X-P1-F1,D3-2X-P1-F10,D3-2X-P1-F11,D3-2X-P1-F2,D3-2X-P1-F3,D3-2X-P1-F5,D3-2X-P1-F6,D3-2X-P1-F7,D3-2X-P1-F9,D3-2X-P1-G1,D3-2X-P1-G10,D3-2X-P1-G11,D3-2X-P1-G2,D3-2X-P1-G3,D3-2X-P1-G5,D3-2X-P1-G6,D3-2X-P1-G7,D3-2X-P1-G9,D3-2X-P1-H1,D3-2X-P1-H10,D3-2X-P1-H11,D3-2X-P1-H2,D3-2X-P1-H3,D3-2X-P1-H5,D3-2X-P1-H6,D3-2X-P1-H7,D3-2X-P1-H9,BG-2X-P2-A1,BG-2X-P2-A10,BG-2X-P2-A11,BG-2X-P2-A2,BG-2X-P2-A3,BG-2X-P2-A5,BG-2X-P2-A6,BG-2X-P2-A7,BG-2X-P2-A9,BG-2X-P2-B1,BG-2X-P2-B10,BG-2X-P2-B11,BG-2X-P2-B2,BG-2X-P2-B3,BG-2X-P2-B5,BG-2X-P2--B6,BG-2X-P2-B7,BG-2X-P2-B9,BG-2X-P2-C1,BG-2X-P2-C10,BG-2X-P2-C11,BG-2X-P2-C2,BG-2X-P2-C3,BG-2X-P2-C5,BG-2X-P2-C6,BG-2X-P2-C7,BG-2X-P2-C9,BG-2X-P2-D1,BG-2X-P2-D10,BG-2X-P2--D11,BG-2X-P2-D2,BG-2X-P2-D3,BG-2X-P2-D5,BG-2X-P2-D6,BG-2X-P2-D7,BG-2X-P2-D9,BG-2X-P2-E1,BG-2X-P2-E10,BG-2X-P2-E11,BG-2X-P2-E2,BG-2X-P2-E3,BG-2X-P2-E5,BG-2X-P2-E6,BG-2X-P2-E7,BG-2X-P2-E9,BG-2X-P2-F1,BG-2X-P2-F10,BG-2X-P2-F11,BG-2X-P2-F2,BG-2X-P2-F3,BG-2X-P2-F5,BG-2X-P2-F6,BG-2X-P2-F7,BG-2X-P2-F9,BG-2X-P2-G1,BG-2X-P2-G10,BG-2X-P2-G11,BG-2X-P2-G2,BG-2X-P2-G3,BG-2X-P2-G5,BG-2X-P2-G6,BG-2X-P2-G7,BG-2X-P2-G9,BG-2X-P2-H1,BG-2X-P2-H10,BG-2X-P2-H11,BG-2X-P2-H2,BG-2X-P2-H3,BG-2X-P2-H5,BG-2X-P2-H6,BG-2X-P2-H7,BG-2X-P2-H9,HK-2X-P1-A1,HK-2X-P1-A10,HK-2X-P1-A11,HK-2X-P1-A2,HK-2X-P1-A3,HK-2X-P1-A5,HK-2X-P1-A6,HK-2X-P1-A7,HK-2X-P1-A9,HK-2X-P1-B1,HK-2X-P1-B10,HK-2X-P1-B11,HK-2X-P1-B2,HK-2X-P1-B3,HK-2X-P1-B5,HK-2X-P1-B6,HK-2X-P1-B7,HK-2X-P1-B9,HK-2X-P1-C1,HK-2X-P1-C10,HK-2X-P1-C11,HK-2X-P1-C2,HK-2X-P1-C3,HK-2X-P1-C5,HK-2X-P1-C6,HK-2X-P1-C7,HK-2X-P1-C9,HK-2X-P1-D1,HK-2X-P1-D10,HK-2X-P1-D11,HK-2X-P1-D2,HK-2X-P1-D3,HK-2X-P1-D5,HK-2X-P1-D6,HK-2X-P1-D7,HK-2X-P1-D9,HK-2X-P1-E1,HK-2X-P1-E10,HK-2X-P1-E11,HK-2X-P1-E2,HK-2X-P1-E3,HK-2X-P1-E5,HK-2X-P1-E6,HK-2X-P1-E7,HK-2X-P1-E9,HK-2X-P1-F1,HK-2X-P1-F10,HK-2X-P1-F11,HK-2X-P1-F2,HK-2X-P1-F3,HK-2X-P1-F5,HK-2X-P1-F6,HK-2X-P1-F7,HK-2X-P1-F9,HK-2X-P1-G1,HK-2X-P1-G10,HK-2X-P1-G11,HK-2X-P1-G2,HK-2X-P1-G3,HK-2X-P1-G5,HK-2X-P1-G6,HK-2X-P1-G7,HK-2X-P1-G9,HK-2X-P1-H1,HK-2X-P1-H10,HK-2X-P1-H11,HK-2X-P1-H2,HK-2X-P1-H3,HK-2X-P1-H5,HK-2X-P1-H6,HK-2X-P1-H7,HK-2X-P1-H9
,,472.1230,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4566990.6664712,,,6510788.62789857,7600373.59454522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12474736.1790884,,,13349089.255833,14753268.4672283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21055.3378403321,,,28011.4651345824,17959.2342668151,,,,,422692.507728258,,,735711.500076703,709844.207304386,60647.3028295898,,,,2257918.07299805,,,2273160.08175293,1659046.90973046,100246.799391723,,,,43793.4563927612,,,61837.5143748016,87818.2287703858,,,,
,,413.2125,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11539091.3052675,5591886.73576477,,,,,,4663349.34112324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487636.543546202,570938.759373122,,,,,,512620.96443036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101587.839614563,100387.294009933,,,,,,97602.4370264588,,,,,,,,,,,,,,,,,,
,,410.2118,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20290.8182724914,,,,,,,,9711429.07612162,10599554.2060346,,,,,,9672266.33644754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75779.7908844909,85865.8185557862,,,,,,33905.13192202,,795699.214186936,1171614.33524227,,,,,,465234.974521668,,5734331.73626684,1356674.09652618,,,,,,1281035.25503938,,44906.0767507935,49831.2722798461,,,,,,65216.9126532593,,,,,,,,,
,,449.2315,2.78,,,,,,,,,,,12895128.0056962,,,12872880.7229885,13165229.3558206,60047.4442647789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32466.5341817017,,,23029.0524783325,19957.9673440933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27912.930867096,,,30956.4609988861,36246.7089419556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,479.2067,4.81,,,,,,,,,,,,,,5903.58686586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12334039.6448874,,,11726659.7993734,11560545.1941452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416866.309023404,,,955547.788851867,1038142.75284448,149055.642655151,,,,777752.762043451,,,416938.778235998,1176045.20958765,335074.702401872,,,,21134.4966315307,,,52818.5392495119,26679.9443035506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,404.2571,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5174989.49827531,5112452.99032164,5122868.72253453,215166.175619124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6864253.68269345,6835544.12768403,6658885.07517331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7704.46615158846,8570.87860108371,8375.19246749685,,,,,,,54946.8640276138,81215.902975927,80611.4370756461,,,8357.46069515325,,,9488.42706300071,669306.777389353,739772.614246464,930883.762497271,209732.436483951,,,,,17255.5362588442,835122.385335198,1115680.11345214,1211489.41951864,208049.125908695,,,,,,29755.4594646098,73043.6906614914,141296.862757543,17662.3977534751,,,,,,,,,,,,,,,,,,
,,530.1486,4.60,,,7316792.56575358,7170049.08088781,,,,,,7318616.02303863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7648327.2867675,7732312.99350233,,,,,,7751679.79077095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499985.78112497,2190947.95752979,,,,,19780.437058281,1307234.2351867,,107423.156796707,133787.63393396,,,,,,48199.2282389374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,99.0688,0.98,,3811362.52220129,4274811.73154572,3812890.49729039,4313850.99325813,4484692.70787982,4564052.83166291,4747089.71396601,4438738.03626247,4363933.62381719,4627010.62322327,5928890.77611694,4867676.59333729,5526752.17107406,5750794.34853139,5786916.29325371,5572684.31653961,5485256.8353015,5706851.60970894,5029143.70726811,5864480.13231728,5500275.23759514,5862755.67805752,6333518.94442402,6226911.52233314,6159099.16399681,6125293.93003546,6207094.98463945,4994828.4267541,5988117.47734168,5814937.69948286,5730046.33264603,6119673.4186032,6697565.13331456,6331900.65345738,6498007.60412358,6385604.57204831,5204443.76793323,5966690.49489818,5583857.06227612,5992418.14243973,6269526.49326553,6258346.14721221,6086284.46307131,6112421.7738894,6157668.49759766,4198049.33948841,4275807.58334192,5328473.15771428,5070673.98975076,5540035.04791673,6175290.28713694,6154257.47391727,6096321.13939163,3458071.4204178,4647354.99748603,3335260.65542577,3229468.25036974,5367393.95008607,5938815.27951281,5875073.09316253,5810906.42170457,5692295.71189546,3717241.32971698,4110276.61041839,4206340.19982172,4124681.48468337,4355507.46543262,4711266.84267048,4926030.03303299,4624730.70713932,4518625.46440765,4285673.45873168,555022.707843616,531354.427362835,544666.796183369,522142.217874809,506570.977629645,505223.158953729,513220.542187265,513793.884274203,518846.602219038,511356.420480693,449684.177445296,435889.333079313,460813.407292562,446043.212425838,436845.504705886,452871.237842989,433226.239152908,460829.981229602,465947.217859105,439284.043571644,417799.666320521,451044.070844255,399655.336106825,418703.043518009,423137.683017087,396521.670368579,385892.390266902,406559.7531913,392691.308362071,357751.869736955,357709.206389841,346740.486540708,377885.070257244,388822.731051801,378520.899834638,341358.712243985,435831.948479908,363944.063889259,392762.039363778,401189.230554439,376048.643671481,369827.77457827,358299.03671546,358736.795554806,377932.843341549,455333.411027535,376039.440601607,377104.625834129,411247.67802125,395198.936735769,392840.86776709,385692.228512603,381523.63565501,374579.775170193,475436.300707049,469120.652341578,439239.926593169,452019.413378967,444750.418773833,422847.711102187,420463.584665213,406995.931560487,434571.540901694,488771.930219984,490176.144421515,444736.47841549,450919.788935432,451074.907636686,450573.068362508,442986.193367089,470892.448888322,485649.947028347,788482.863847487,881213.476486209,919619.934489315,869885.851192184,902947.943619713,910384.086709257,801493.895787646,900854.50337091,967783.974438277,790530.16106708,919627.307002949,886504.194322851,905790.950250543,835629.445900831,918110.46477322,882218.236143994,901224.089503804,846433.92120405,896314.659142583,878097.106696193,914525.98648769,887683.088347433,828100.826479959,865674.318276324,867787.263283386,822525.407397579,868835.264771606,786903.083970003,888779.115030815,862363.18853577,756110.797404393,751828.917947478,825596.956072528,787481.656773329,903381.097859999,198657.284872229,824791.489718458,836288.359920338,903074.326534874,874981.475539384,875898.39222611,886225.447285412,859670.429127849,909606.176484562,826807.119841714,817582.64579929,877475.003780512,851976.150738031,860221.470723911,806888.829924977,861282.411898192,827682.326762959,842794.731239213,870080.882649975,785035.203094178,962914.403788202,869114.708683637,927098.982294319,924686.140433494,865155.694369728,873315.955764317,892606.864480783,911123.942817536,883273.627138331,899736.953448608,892523.125160277,860588.762587363,884513.774822652,885662.78419784,904171.654163697,850099.579951898,904770.979135782
,,609.1766,13.20,,,1254291.93107216,948849.866505992,,,,,1292649.78872698,476418.033313404,617550.526199466,639761.934443866,548543.466699951,482464.281868877,413479.917142761,441605.685954476,588899.890145829,697748.897852935,563593.686919914,261603.971104691,731686.478780717,496169.924073632,186824.609768829,150462.606465668,242884.081437363,462176.149778733,737724.115299888,695762.622548422,156918.249603958,787157.959794569,543148.60303143,87101.6005082092,82601.500477951,202922.633438263,389345.203186798,660430.008473675,610912.25873497,161925.800189377,786181.088460965,520330.374205017,37328.582088706,120071.393426346,225572.572013275,425745.851713898,593146.088785046,628062.527706115,247975.615097809,,,195058.371485001,170994.448790192,234952.154885269,378286.917312581,,,,606633.68660376,558432.174430359,,,,,,,341257.843098541,914238.962740707,756513.243711746,282276.715848181,268354.428476036,466815.094351395,563034.823714203,656998.793055847,577564.326887518,,2950892.33201358,5267882.8392738,,,,,1715230.03222616,1943397.03369944,2889212.07201724,3406194.43174916,3706940.88344451,2806997.44158855,4226676.92078028,4016081.18944855,1275767.36747902,4096840.41696532,2663205.61890726,3684346.98184628,4065566.1736007,3615816.59866976,3571665.43408738,3417097.77015091,3525400.74740608,2969560.05418331,2207329.59467375,2729315.64944557,2553672.16169657,3035939.66765902,3218544.34266473,2472355.16996906,2846992.4273875,2930043.2099328,3881365.61454802,3218954.11161447,2059300.49211094,2674071.95228536,3576791.74053644,2460462.07478687,2377950.35302867,1823257.98732458,2340708.87865959,2800235.43766786,2451499.33185603,2039055.29848528,1694615.47493498,2896329.26881347,2547949.94722138,1686313.25286262,1536565.6912971,1814033.10782671,2669872.75796944,3115412.67262008,1572615.60570874,1809256.5947146,1426836.85415395,1544014.84971629,1921371.39191644,1781231.30943902,2177927.96248736,2291374.1512669,2219084.96560108,1064128.44017198,2226872.28172042,2221808.98547401,1972272.72018895,1551937.56480894,2148410.352927,2639263.62049913,84638.2881435112,88846.9681618918,1186875.77873676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,414.2056,7.12,,750685.604665032,484502.039436265,560074.094426369,679051.467735078,3783123.58005984,703782.206659798,642161.505784286,601887.442280882,564782.380758765,695345.073129378,482186.70961897,527115.090755907,608025.751168058,1475285.98453902,672095.12317818,571753.710401834,542387.50201362,528908.604952316,601570.969707391,546564.360131287,573762.605489845,636678.187165305,571296.244540011,633683.574854503,611335.084039909,2990024.86488185,545950.014063178,582553.882917619,817247.677964022,630582.657387638,692097.984702194,695261.166714678,625526.433808954,698687.091577322,515132.170656872,528989.123661113,656191.278659638,828446.957998044,622457.696343155,671623.47642503,735157.666917865,536987.839404795,600755.224898832,554113.869098871,663627.96451846,697166.036311617,576023.507527556,630218.616708731,548668.9602293,517081.234838126,606605.177127767,565452.48127008,571031.819610183,583058.62233279,565138.014505682,416620.38330232,505537.7859573,468540.549095728,479692.444477636,559718.376476267,642392.26286749,569289.759011636,540545.847652348,641037.715805925,499830.167413656,609527.972560705,666360.195456305,487718.008141053,647619.065223365,713377.420720989,753673.239014238,730039.57347317,880469.719462097,687901.535050186,652202.358581413,837713.325581912,5018202.20742149,865972.181209603,774317.831762419,734101.643941296,717127.988204302,901605.019642388,601911.360263652,731505.788452711,753511.485857761,2345144.90161966,738269.520525839,686831.83809007,671147.764236847,555602.912464337,756103.287869063,779534.981569448,686443.295867615,752809.655773536,699742.018195764,734189.286402625,747091.32930027,3549924.98685909,645598.888966098,657045.858298704,955623.467611394,689993.306813115,703366.107127953,856911.373338543,696573.317125322,757355.591707158,583053.38275531,711092.512448645,792462.55025214,801211.870857015,710445.354526025,626028.918827395,758348.324578464,620209.611926757,703124.375579433,615617.297177244,695140.345124835,858883.756728773,621939.79160793,734819.264096817,648340.944280411,650473.719447013,674181.78441607,627725.097605383,651378.683671271,630116.675166241,744347.633175151,580029.719338741,598685.146423954,659783.23349769,585144.439552763,629282.028461764,739733.566264229,677132.645505504,649578.728267439,738881.586868471,580385.58927401,636024.091858914,654403.313948858,566432.57703374,712292.049235789,900573.347663075,862794.399890991,707407.498649211,318136.295060629,246577.109294023,223899.666560287,298499.139501676,604306.758810251,293219.067763196,300951.590371563,292309.9155272,273225.874261778,290060.006339252,232551.604623565,217183.463726403,269753.490639276,419326.449743621,283555.111454531,292327.393766467,303140.589845625,256066.914986455,296729.550921827,285177.731090789,246320.761127407,272393.118948417,235398.296224055,271815.331694556,274387.183514798,748725.556522976,242746.723850252,291740.072275012,274226.239308532,234228.668237887,247220.410903519,287018.35515292,265860.969385927,321190.368627198,271815.512462601,255290.60241355,263145.457170231,260738.941839182,232090.406306779,297067.108975563,340980.547578861,268796.412658485,272777.850340806,271349.684999453,235390.545469295,287024.105297612,205628.116467239,243037.684726327,242703.856694444,190493.798452349,246872.253972419,222248.698240115,229040.021238596,229397.954320092,237048.091324631,194663.030692527,214690.356432751,204902.688208465,184070.758615794,246236.091043594,216708.475455009,238722.005092962,228835.563127803,251745.339431321,205454.731802199,222424.41320807,225343.219971429,164486.493924656,249960.146202541,267247.776719311,267648.869763089,218899.439423153
