"Compound Name","Formula","Mass","RT","CAS ID",BG-2X-P2-A1,BG-2X-P2-A10,BG-2X-P2-A11,BG-2X-P2-A2,BG-2X-P2-A3,BG-2X-P2-A5,BG-2X-P2-A6,BG-2X-P2-A7,BG-2X-P2-A9,BG-2X-P2-B1,BG-2X-P2-B10,BG-2X-P2-B11,BG-2X-P2-B2,BG-2X-P2-B3,BG-2X-P2-B5,BG-2X-P2--B6,BG-2X-P2-B7,BG-2X-P2-B9,BG-2X-P2-C1,BG-2X-P2-C10,BG-2X-P2-C11,BG-2X-P2-C2,BG-2X-P2-C3,BG-2X-P2-C5,BG-2X-P2-C6,BG-2X-P2-C7,BG-2X-P2-C9,BG-2X-P2-D1,BG-2X-P2-D10,BG-2X-P2--D11,BG-2X-P2-D2,BG-2X-P2-D3,BG-2X-P2-D5,BG-2X-P2-D6,BG-2X-P2-D7,BG-2X-P2-D9,BG-2X-P2-E1,BG-2X-P2-E10,BG-2X-P2-E11,BG-2X-P2-E2,BG-2X-P2-E3,BG-2X-P2-E5,BG-2X-P2-E6,BG-2X-P2-E7,BG-2X-P2-E9,BG-2X-P2-F1,BG-2X-P2-F10,BG-2X-P2-F11,BG-2X-P2-F2,BG-2X-P2-F3,BG-2X-P2-F5,BG-2X-P2-F6,BG-2X-P2-F7,BG-2X-P2-F9,BG-2X-P2-G1,BG-2X-P2-G10,BG-2X-P2-G11,BG-2X-P2-G2,BG-2X-P2-G3,BG-2X-P2-G5,BG-2X-P2-G6,BG-2X-P2-G7,BG-2X-P2-G9,BG-2X-P2-H1,BG-2X-P2-H10,BG-2X-P2-H11,BG-2X-P2-H2,BG-2X-P2-H3,BG-2X-P2-H5,BG-2X-P2-H6,BG-2X-P2-H7,BG-2X-P2-H9,HK-2X-P1-A1,HK-2X-P1-A10,HK-2X-P1-A11,HK-2X-P1-A2,HK-2X-P1-A3,HK-2X-P1-A5,HK-2X-P1-A6,HK-2X-P1-A7,HK-2X-P1-A9,HK-2X-P1-B1,HK-2X-P1-B10,HK-2X-P1-B11,HK-2X-P1-B2,HK-2X-P1-B3,HK-2X-P1-B5,HK-2X-P1-B6,HK-2X-P1-B7,HK-2X-P1-B9,HK-2X-P1-C1,HK-2X-P1-C10,HK-2X-P1-C11,HK-2X-P1-C2,HK-2X-P1-C3,HK-2X-P1-C5,HK-2X-P1-C6,HK-2X-P1-C7,HK-2X-P1-C9,HK-2X-P1-D1,HK-2X-P1-D10,HK-2X-P1-D11,HK-2X-P1-D2,HK-2X-P1-D3,HK-2X-P1-D5,HK-2X-P1-D6,HK-2X-P1-D7,HK-2X-P1-D9,HK-2X-P1-E1,HK-2X-P1-E10,HK-2X-P1-E11,HK-2X-P1-E2,HK-2X-P1-E3,HK-2X-P1-E5,HK-2X-P1-E6,HK-2X-P1-E7,HK-2X-P1-E9,HK-2X-P1-F1,HK-2X-P1-F10,HK-2X-P1-F11,HK-2X-P1-F2,HK-2X-P1-F3,HK-2X-P1-F5,HK-2X-P1-F6,HK-2X-P1-F7,HK-2X-P1-F9,HK-2X-P1-G1,HK-2X-P1-G10,HK-2X-P1-G11,HK-2X-P1-G2,HK-2X-P1-G3,HK-2X-P1-G5,HK-2X-P1-G6,HK-2X-P1-G7,HK-2X-P1-G9,HK-2X-P1-H1,HK-2X-P1-H10,HK-2X-P1-H11,HK-2X-P1-H2,HK-2X-P1-H3,HK-2X-P1-H5,HK-2X-P1-H6,HK-2X-P1-H7,HK-2X-P1-H9,D12-2X-P2-A1,D12-2X-P2-A10,D12-2X-P2-A11,D12-2X-P2-A2,D12-2X-P2-A3,D12-2X-P2-A5,D12-2X-P2-A6,D12-2X-P2-A7,D12-2X-P2-A9,D12-2X-P2-B1,D12-2X-P2-B10,D12-2X-P2-B11,D12-2X-P2-B2,D12-2X-P2-B3,D12-2X-P2-B5,D12-2X-P2-B6,D12-2X-P2-B7,D12-2X-P2-B9,D12-2X-P2-C1,D12-2X-P2-C10,D12-2X-P2-C11,D12-2X-P2-C2,D12-2X-P2-C3,D12-2X-P2-C5,D12-2X-P2-C6,D12-2X-P2-C7,D12-2X-P2-C9,D12-2X-P2-D1,D12-2X-P2-D10,D12-2X-P2-D11,D12-2X-P2-D2,D12-2X-P2-D3,D12-2X-P2-D5,D12-2X-P2-D6,D12-2X-P2-D7,D12-2X-P2-D9,D12-2X-P2-E1,D12-2X-P2-E10,D12-2X-P2-E11,D12-2X-P2-E2,D12-2X-P2-E3,D12-2X-P2-E5,D12-2X-P2-E6,D12-2X-P2-E7,D12-2X-P2-E9,D12-2X-P2-F1,D12-2X-P2-F10,D12-2X-P2-F11,D12-2X-P2-F2,D12-2X-P2-F3,D12-2X-P2-F5,D12-2X-P2-F6,D12-2X-P2-F7,D12-2X-P2-F9,D12-2X-P2-G1,D12-2X-P2-G10,D12-2X-P2-G11,D12-2X-P2-G2,D12-2X-P2-G3,D12-2X-P2-G5,D12-2X-P2-G6,D12-2X-P2-G7,D12-2X-P2-G9,D12-2X-P2-H1,D12-2X-P2-H10,D12-2X-P2-H11,D12-2X-P2-H2,D12-2X-P2-H3,D12-2X-P2-H5,D12-2X-P2-H6,D12-2X-P2-H7,D12-2X-P2-H9
,,472.1210,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6077693.32348465,,,6484657.31908179,7118459.25915639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10203.542799202,,,13588.4518005981,9670.06532690427,,,,,217301.444394609,,,370413.035792647,359453.885748277,32739.3149758453,,,,1153328.47619019,,,1161057.07191284,848306.365418942,51706.5646377867,,,,21563.1758154678,,,32378.6163249359,45770.0748798218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2123969.81938208,,,2992263.80513996,3308862.40591415,,,,,,,,,,,,,
,,410.2126,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20290.8182724914,,,,,,,,9711429.07612162,10599554.2060346,,,,,,9672266.33644754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75779.7908844909,85865.8185557862,,,,,,33905.13192202,,795699.214186936,1171614.33524227,,,,,,465234.974521668,,5734331.73626684,1356674.09652618,,,,,,1280168.69477043,,44906.0767507935,49831.2722798461,,,,,,65216.9126532593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376622.57654977,1838886.55497876,,,,,,1270154.80562023,,,,,,,,,,,,,,,,,,
,,479.2066,4.81,,,,,,,,,,,12334039.6448874,,,11726659.7993734,11560545.1941452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416866.309023404,,,955547.788851867,1038142.75284448,149055.642655151,,,,777752.762043451,,,416938.778235998,1176045.20958765,335074.702401872,,,,21134.4966315307,,,52818.5392495119,26679.9443035506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117962.885414795,,,46865.8329591369,29812.3555708618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,413.2120,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493302.559216124,577652.849983474,,,,,,517100.269884461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107035.079166168,101573.386306564,,,,,,105591.403284592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8187177.46582159,8803239.14408268,,,,,,8329994.39037373,,24298.4755940552,,,,,,,,,,,,,,,,
,,404.2556,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6864253.68269345,6835544.12768403,6658885.07517331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7704.46615158846,8195.45214686198,8375.19246749685,,,,,,,54946.8640276138,81215.902975927,80611.4370756461,,,8357.46069515325,,,9488.42706300071,669306.777389353,739772.614246464,930883.762497271,209732.436483951,,,,,17255.5362588442,835122.385335198,1115680.11345214,1211489.41951864,208049.125908695,,,,,,29755.4594646098,73043.6906614914,141296.862757543,17662.3977534751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3811372.78817818,3825417.38202893,3777500.5627274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,530.1481,4.60,,,7648327.2867675,7732312.99350233,,,,,,7751679.79077095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499985.78112497,2190947.95752979,,,,,19780.437058281,1307239.92609891,,107423.156796707,133787.63393396,,,,,,48199.2282389374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6432735.12780363,6486131.68992288,,,,,,6531026.28687717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160659.818145035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,449.2316,2.78,,,,,,,,,,,24131.8550328369,,,18059.8019943237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20548.2413760071,,,23574.5268779144,23232.5895668945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6556327.64964669,,,6998414.52834632,7199776.69497476,39311.9773901367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,113.0839,1.59,,227370.77522193,192640.116067837,193223.20059335,198421.382936793,168040.82416289,183417.894294455,193459.50752183,176915.815684159,193062.331584287,190753.824819237,167869.078771412,180491.455309799,174255.171542047,172966.913011729,164112.63097869,162945.680981852,163500.409165252,169125.696016668,191904.591074218,150623.431467777,170114.518705868,174787.301419975,152585.418685571,149102.982008928,153968.413499145,145369.725594505,157208.271160224,159882.755973289,140693.043106422,168090.201560648,141925.401561019,133013.669069209,130755.647552325,135696.693828704,136594.177212921,138185.698607785,174405.90612073,155273.905420952,157666.580227993,160151.601619183,139280.507317553,144088.368165603,132025.576027312,136180.102124394,136247.790609679,189752.138139703,153172.379711451,163570.855252191,159521.606761243,154104.294499221,151469.235642025,137916.4558568,129994.707225671,127732.697076285,186717.339501412,144840.000022599,160212.401284582,183598.785505804,162555.162570394,161430.318595115,172248.800550196,160004.304666102,162253.299326968,164124.698986402,165642.135044292,144355.76463718,164461.381453297,154149.328673754,167043.681612694,165680.788804561,163618.227154859,169965.839771409,222480.453389313,221303.211419678,238155.045453192,290125.117209302,262493.467505759,261629.739634534,223506.552993164,229508.953726578,217770.061000443,282359.657473712,290477.655169523,310219.54179834,333005.66846361,315078.301047185,332055.723718037,320434.460255485,330003.390797157,302787.551411844,317046.399471506,240181.448943539,253325.975078485,295314.480846754,274837.696958466,290875.701924604,279352.397644693,258587.211810397,252410.976132934,224560.773074422,232915.212352651,215959.925677614,209413.079601721,211206.144599946,223857.184060075,195965.114803409,226818.655323486,226175.6429706,213609.095303711,209915.229823059,232311.547185761,205703.276612104,206329.718032685,200240.503638764,200959.623143478,214674.878788667,210377.571262749,210279.833046919,225003.067638427,211277.800923462,200322.088964521,197731.679758147,215006.707996308,193293.122575477,207163.363392074,213085.118883501,191839.115048057,211317.282076249,340143.49112533,200714.002624386,193826.521000314,196632.96463074,194206.816153549,185230.189521198,197219.626384811,167933.164277062,185935.368122009,168147.185943073,177094.240570571,158742.944241367,183798.945370092,183293.360630814,174721.208171935,171641.315363051,140570.112340699,182546.437189818,185971.394877364,162826.827773538,162209.052324767,168066.525108154,174714.06643329,164670.44864109,170122.104810879,171713.298015621,155925.219993687,189262.438636497,171857.23801818,172127.713769398,171824.961760537,172978.291544584,172790.841762454,164569.938871708,171788.8427086,183985.177917598,199389.761212723,171966.594905972,180215.752788526,194291.482520261,188129.879574109,167256.804822387,174669.872475295,257218.222798316,861793.132704535,667017.70848326,284431.691234902,1122987.02454677,288363.71592354,313592.993854021,356136.004347421,430439.44598746,523320.532047792,7806677.52672257,1467686.45145832,829740.920303625,854346.960448879,893593.924823018,513571.755815122,833217.191740773,600739.701554706,728963.042890217,1186225.80590079,1433372.29217756,926630.204051333,964633.72474967,1193001.91851146,1177678.37738681,1329324.98060844,759557.913990406,2107726.61282127,1139057.31216205,1577780.54030302,1019273.27887972,1301581.14156264,1475901.06413665,1463159.09903221,1244795.83593389,945566.049698729,1532616.47945172,1537023.12032334,1407958.74094741,1072067.98340514,1452159.3632308,1505186.81884303,1318866.9042318,1110447.41452606,1500805.36641951
,,226.1680,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21735.2580114081,26534.0882249431,,,,,11802.5950324347,,,335386.699858612,,88834.3315665285,,,155989.507021885,131659.456831036,248707.621132194,309309.350558747,5471405.99411132,1052252.72637581,603730.083610368,612503.504977316,616349.946136187,303544.580102048,286834.907094637,323401.099713221,,679155.428040512,830962.140079961,559702.609351424,576609.351702826,741479.177165324,726044.986381309,859921.348262307,398831.158053462,1368465.99104445,606355.152827515,852431.807804138,511970.541506885,733169.549721627,833720.63652464,823419.252976274,672299.134791421,490437.23418951,836025.78405209,769863.963651825,716445.927297477,573248.214749134,753857.200337022,795562.858238453,672838.169279082,528292.839646791,766484.996865306
,,339.2513,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6432.26920887754,,,,,,27115.7882544327,34295.917855713,12638.5857997979,14259.6639690849,39010.4633797943,26718.0323721261,19988.4476870747,19063.6859963512,55556.7083273288,359932.54972337,524984.938602399,102213.665974189,558641.248088685,96852.8000203252,182394.205484334,154757.105184389,276268.63740385,354115.802452424,6656568.01668334,1259648.76441811,710262.281876358,740371.349274616,721070.915665617,346699.335328145,345896.635481983,377261.746389669,466053.459605266,820186.314322271,1032831.59579384,658136.025432951,674070.153357456,900784.604134935,872982.674163425,1029808.73925864,452810.795139168,1683146.70694047,727592.781605836,1023289.57644584,613981.106684749,897782.934493148,999861.499203568,966185.794354591,790172.620434021,552517.692475894,1020793.5700134,938877.224827957,824390.054574408,669856.574555146,902608.742925689,946711.482631208,813419.01050339,628076.817855351,907153.991103821
