"Compound Name","Formula","Mass","RT","CAS ID",HK-2X-P1-A1,HK-2X-P1-A10,HK-2X-P1-A11,HK-2X-P1-A2,HK-2X-P1-A3,HK-2X-P1-A5,HK-2X-P1-A6,HK-2X-P1-A7,HK-2X-P1-A9,HK-2X-P1-B1,HK-2X-P1-B10,HK-2X-P1-B11,HK-2X-P1-B2,HK-2X-P1-B3,HK-2X-P1-B5,HK-2X-P1-B6,HK-2X-P1-B7,HK-2X-P1-B9,HK-2X-P1-C1,HK-2X-P1-C10,HK-2X-P1-C11,HK-2X-P1-C2,HK-2X-P1-C3,HK-2X-P1-C5,HK-2X-P1-C6,HK-2X-P1-C7,HK-2X-P1-C9,HK-2X-P1-D1,HK-2X-P1-D10,HK-2X-P1-D11,HK-2X-P1-D2,HK-2X-P1-D3,HK-2X-P1-D5,HK-2X-P1-D6,HK-2X-P1-D7,HK-2X-P1-D9,HK-2X-P1-E1,HK-2X-P1-E10,HK-2X-P1-E11,HK-2X-P1-E2,HK-2X-P1-E3,HK-2X-P1-E5,HK-2X-P1-E6,HK-2X-P1-E7,HK-2X-P1-E9,HK-2X-P1-F1,HK-2X-P1-F10,HK-2X-P1-F11,HK-2X-P1-F2,HK-2X-P1-F3,HK-2X-P1-F5,HK-2X-P1-F6,HK-2X-P1-F7,HK-2X-P1-F9,HK-2X-P1-G1,HK-2X-P1-G10,HK-2X-P1-G11,HK-2X-P1-G2,HK-2X-P1-G3,HK-2X-P1-G5,HK-2X-P1-G6,HK-2X-P1-G7,HK-2X-P1-G9,HK-2X-P1-H1,HK-2X-P1-H10,HK-2X-P1-H11,HK-2X-P1-H2,HK-2X-P1-H3,HK-2X-P1-H5,HK-2X-P1-H6,HK-2X-P1-H7,HK-2X-P1-H9,BG-2X-P2-A1,BG-2X-P2-A10,BG-2X-P2-A11,BG-2X-P2-A2,BG-2X-P2-A3,BG-2X-P2-A5,BG-2X-P2-A6,BG-2X-P2-A7,BG-2X-P2-A9,BG-2X-P2-B1,BG-2X-P2-B10,BG-2X-P2-B11,BG-2X-P2-B2,BG-2X-P2-B3,BG-2X-P2-B5,BG-2X-P2--B6,BG-2X-P2-B7,BG-2X-P2-B9,BG-2X-P2-C1,BG-2X-P2-C10,BG-2X-P2-C11,BG-2X-P2-C2,BG-2X-P2-C3,BG-2X-P2-C5,BG-2X-P2-C6,BG-2X-P2-C7,BG-2X-P2-C9,BG-2X-P2-D1,BG-2X-P2-D10,BG-2X-P2--D11,BG-2X-P2-D2,BG-2X-P2-D3,BG-2X-P2-D5,BG-2X-P2-D6,BG-2X-P2-D7,BG-2X-P2-D9,BG-2X-P2-E1,BG-2X-P2-E10,BG-2X-P2-E11,BG-2X-P2-E2,BG-2X-P2-E3,BG-2X-P2-E5,BG-2X-P2-E6,BG-2X-P2-E7,BG-2X-P2-E9,BG-2X-P2-F1,BG-2X-P2-F10,BG-2X-P2-F11,BG-2X-P2-F2,BG-2X-P2-F3,BG-2X-P2-F5,BG-2X-P2-F6,BG-2X-P2-F7,BG-2X-P2-F9,BG-2X-P2-G1,BG-2X-P2-G10,BG-2X-P2-G11,BG-2X-P2-G2,BG-2X-P2-G3,BG-2X-P2-G5,BG-2X-P2-G6,BG-2X-P2-G7,BG-2X-P2-G9,BG-2X-P2-H1,BG-2X-P2-H10,BG-2X-P2-H11,BG-2X-P2-H2,BG-2X-P2-H3,BG-2X-P2-H5,BG-2X-P2-H6,BG-2X-P2-H7,BG-2X-P2-H9,D2-2X-P1-A1,D2-2X-P1-A10,D2-2X-P1-A11,D2-2X-P1-A2,D2-2X-P1-A3,D2-2X-P1-A5,D2-2X-P1-A6,D2-2X-P1-A7,D2-2X-P1-A9,D2-2X-P1-B1,D2-2X-P1-B10,D2-2X-P1-B11,D2-2X-P1-B2,D2-2X-P1-B3,D2-2X-P1-B5,D2-2X-P1--B6,D2-2X-P1-B7,D2-2X-P1-B9,D2-2X-P1-C1,D2-2X-P1-C10,D2-2X-P1-C11,D2-2X-P1-C2,D2-2X-P1-C3,D2-2X-P1-C5,D2-2X-P1-C6,D2-2X-P1-C7,D2-2X-P1-C9,D2-2X-P1-D1,D2-2X-P1-D10,D2-2X-P1--D11,D2-2X-P1-D2,D2-2X-P1-D3,D2-2X-P1-D5,D2-2X-P1-D6,D2-2X-P1-D7,D2-2X-P1-D9,D2-2X-P1-E1,D2-2X-P1-E10,D2-2X-P1-E11,D2-2X-P1-E2,D2-2X-P1-E3,D2-2X-P1-E5,D2-2X-P1-E6,D2-2X-P1-E7,D2-2X-P1-E9,D2-2X-P1-F1,D2-2X-P1-F10,D2-2X-P1-F11,D2-2X-P1-F2,D2-2X-P1-F3,D2-2X-P1-F5,D2-2X-P1-F6,D2-2X-P1-F7,D2-2X-P1-F9,D2-2X-P1-G1,D2-2X-P1-G10,D2-2X-P1-G11,D2-2X-P1-G2,D2-2X-P1-G3,D2-2X-P1-G5,D2-2X-P1-G6,D2-2X-P1-G7,D2-2X-P1-G9,D2-2X-P1-H1,D2-2X-P1-H10,D2-2X-P1-H11,D2-2X-P1-H2,D2-2X-P1-H3,D2-2X-P1-H5,D2-2X-P1-H6,D2-2X-P1-H7,D2-2X-P1-H9
,,419.3002,11.47,,28299.3382936837,87166.6038790594,37547.9960151112,44453.3244530897,28438.920521143,43967.8609198382,117756.299403916,128245.918452635,117678.787708564,50956.1437097876,62973.9315301954,61466.3508037926,117241.75044425,57990.7832118924,102194.416129478,101177.952152452,,65186.3870201307,43277.9695614292,58812.911130151,63746.0888808054,17088.6290311723,22645.7385952735,54222.8697439478,81099.3904342763,61868.9964775226,14457.7457327904,60436.2686753052,83152.6218602442,22793.2109887229,87107.2563776725,90664.066920778,71175.1966175873,12099.6577148707,93687.6156801826,110643.092467656,77663.8082011585,66298.6117087044,74915.4982981476,95324.41072882,131938.439881786,94664.9646739808,65017.5277378221,57135.5980832569,56816.0014834555,140016.308312247,90138.8158052105,10887.3819514067,210678.827125615,175073.302824784,213378.455571117,333338.344108258,521217.323137107,97776.261965902,19562.1524685816,157022.622290511,140119.847675108,139769.309768244,176898.949195532,114499.017676091,135680.297727566,156058.380134751,112391.70089537,81777.164955144,78846.3043241765,83728.1232610439,121756.199098025,129848.304143531,124736.934177889,138714.896775995,122538.228062282,97280.4690664213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,637.2083,13.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344086.409771744,420345.048904481,,,,,104012.175780975,127318.941501129,349957.398778244,429712.559622879,392581.120060468,351458.677223984,312583.391274444,323017.331249405,227421.250984987,348274.209833405,224627.158286163,336640.117007385,531569.119107086,381554.958758357,356191.437609237,365850.166954987,311745.291786039,386874.851178108,369325.860133687,300048.601890488,282078.388438802,380068.144168279,373689.07039879,328029.201990202,335253.41741742,304742.528832795,481206.186209289,401291.250070091,254477.789008835,347425.321451172,480034.545483749,329531.840027211,245300.595655703,280990.697467062,300782.384827606,348613.341920901,396150.596964868,275767.619139465,268464.072832115,328663.268670179,333513.912236864,164181.828290902,212691.273469864,252786.869267395,296457.894037149,250338.038840953,211409.4337211,201882.128802411,120867.330360779,128609.812904083,221845.651251161,233708.968834049,303872.739965271,261038.035990196,295183.801849757,178237.910828613,260138.004338155,310804.11916188,167026.616136825,249117.646264784,296864.659888565,371755.821191803,,,193394.607588409,,,137844.757711609,55465.3760666046,,,,149328.363819519,62080.548297699,95272.6121087493,97788.2540718841,81499.5690663148,88457.1081429901,75833.9135926208,74748.6984366914,107847.272888824,116151.18008561,81823.6181150817,41029.276015915,71923.7529913787,57914.9548924409,,,,87881.546630043,95292.1350680084,76533.2292606049,,99707.0291052704,77312.0942344589,,,,54258.5632207641,78727.1176468811,73977.618814331,,96114.4720052338,76394.604860321,,,,62716.2152218629,93392.5485068359,62600.9028346864,,,67932.7562150115,,,,49059.0903414307,71478.3568379516,74886.1702251129,40433.4921202698,74393.8260429535,68465.4002738191,,,,53349.093519455,67480.0504941405,57526.1806369935,46469.1168041381,100487.780554626,102699.541709457,,,56559.810409439,79776.6957429199,78147.9902859193,72925.6640701295
,,302.1706,8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325762.724722655,,321728.421396733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,530.3997,13.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162534.129289429,256396.689736959,257045.403283503,603356.303274756,396460.678110572,287847.768287891,312458.106632849,306636.398332857,322323.02208318,314468.938618558,241148.732953917,282036.824979439,376013.657032572,301272.490820944,257247.815055717,446512.319052209,275718.318691249,270480.050297632,289879.709856129,261074.601626125,254077.909261388,295481.082251301,253555.095004584,289286.621227998,254128.725396831,289631.726551596,279934.990114547,311485.169792825,228760.521785559,258104.635056969,293640.857652887,259487.033237778,222878.070575796,251477.265332766,255835.746764054,269654.621743948,262303.251404595,270222.391846196,263904.154356608,284869.537658777,272991.166808915,246460.798263246,272664.229118432,283589.472776143,269755.015845778,286298.646804902,353270.623855403,239294.472676315,258712.908767775,240859.397587269,241876.601407104,237362.363589114,232479.943244494,220732.038640413,238760.023489296,,337397.082499134,280640.938880748,230583.076443723,230976.536186142,248568.734729029,216866.670982662,229489.882302053,,297167.969992263,284444.360088485,327806.610174967,303059.327072963,294136.339581882,263990.385310529,267993.84769613,309834.163355615,22257.1435916556,228379.690020752,296611.933549831,419896.486677645,329689.277926998,300908.373803801,304109.662215053,318553.377133901,312485.047731565,308318.307132029,297910.530346174,289774.065150293,289746.637052467,319758.740404322,266887.436429239,392858.070967144,273110.692787884,317757.551104751,286198.882788564,290760.15278669,298037.128402719,248903.460666745,269107.310261916,279540.895815995,283016.287905587,265780.739045259,341015.399860242,274524.329662984,293074.204576934,255302.751072731,273124.950209224,245076.244593895,294647.954404988,294237.428068599,284238.039311753,300199.474744932,301684.689432937,199348.035266962,135278.222373017,281773.691751771,274365.298808542,285852.422617109,285634.14165752,170362.141284965,158626.960313097,284876.071129939,321783.368666602,263876.804115451,253041.010316484,280013.540862081,290346.958537039,217362.334293083,310518.897095681,307865.023634421,270255.568109072,265063.64168108,257972.375058879,382679.24065358,328338.032610407,376414.78422851,292778.058918942,287930.395452526,267962.504548733,289562.563523,243675.609968734,214460.747146383,233148.6725065,267183.603864562,267521.986449493,298713.446837206,257548.169986158,310836.023891769
,,570.0892,4.60,,,20338.1432596439,20785.4063515626,,,,,,27710.9563618164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497899.447148407,497869.08181656,,,,,,483736.962777801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340679.352845855,346397.609360138,,,,,,338349.781592102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1122.2174,4.60,,,19675.3133789058,14349.0662445374,,,,,,24566.7101802979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477833.02809546,476224.698624147,,,,,,471255.484840575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307325.537523468,312019.499790801,,,,,,316193.269574707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,346.2510,6.82,,,19745.3631084596,18756.5031619873,,,,,,12443.0382890778,,292176.626998963,285764.92173227,,,,,,272469.77748787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455327.058931466,450615.423362183,,,,,,450891.218275495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141801.752707718,164027.017800644,,,,,,127599.627454269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,632.0556,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470060.117389738,,,486453.039601319,460945.276323426,,,,
,,342.1578,2.91,,,,,,,,,,,,,,,,,,,,,35714.1654581146,66981.6328566437,,,,,,5314.50637805177,,453208.870507111,457010.129511841,,,,,,78635.3972745057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17298.4178779602,,,,,,,,,632196.494872544,554794.086184822,,,,,,586878.643238465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42419.8453982238,58961.8468081055,,,,,,56633.7223083649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,210.1372,2.59,,2856717.05192256,625208.658631971,636279.695492696,1671544.2025685,3052634.2592947,3011019.12405682,2862406.17834101,2999908.55543819,532730.450873398,2860882.1475174,786552.511391657,2131905.54248854,1642312.80190301,970051.560071478,2098771.88481645,1044092.77894852,1421442.81464102,2716095.75651486,658017.781262483,2966105.74709298,849217.056082302,986683.041458614,2977947.52063639,999726.385951039,2799639.43751162,775486.798745729,1985989.41957654,2034625.67922118,3065135.75314747,1779022.15037277,619903.750455484,558297.279483059,2383363.08781538,2961350.4227132,779517.296357074,739851.000085756,708426.512990888,1241349.84428182,933070.200435242,3101027.08696736,2085903.73726804,314585.769770717,3119564.51752915,507279.727301341,556830.724593157,617281.628853552,1280285.19586973,783222.721978977,2192112.03250635,2963183.01619558,541683.427589776,486405.235122262,3091711.0276869,1888140.33907227,2874890.59694764,302979.328663081,1076100.91330249,954339.396906403,968405.434604302,1558041.92297335,1980048.79084644,1048353.21271399,570497.000672193,1868954.79618066,2017660.74209765,1875361.7221958,1089239.53616968,2997408.87230413,1815650.96231008,2415534.99864877,1245973.43831451,773207.93890856,3800198.17832652,3677881.64789429,3578808.53702972,3735215.39153911,3545419.63459814,3565914.36285657,3645925.52099478,3570826.9664792,3625433.81555854,3684205.12043812,3500370.06377979,3425179.86883926,3476907.43453636,3441153.18722243,3457126.13150161,3491796.88133289,3411860.57875638,3478438.62144489,3458180.17765499,3424091.43025007,3360971.12218136,3480823.14877912,3381464.83612135,3296551.11141408,3392807.93300272,3340287.85695585,3254457.14792035,3151111.30061892,3361295.57867005,3256595.06664518,3132545.07916641,3288257.07905869,3378664.81588182,3382239.01115978,3385822.07895926,3190201.06265508,3364682.35541111,3384008.41075187,3403275.01870131,3347272.65913523,3406348.47481644,3421490.33854373,3457217.54134495,3355659.80461948,3367047.7067576,3787648.47004886,3341652.54884575,3446776.1747515,3581597.54274015,3564361.07238477,3531818.60427762,3536463.2594827,3302079.63100886,3437676.91236224,3592354.62518667,3208576.15166608,3396743.61200548,3616800.03717502,3569271.49724019,3487924.40591912,3510207.35915469,3442928.29864732,3577446.24484825,3622557.16035011,3558011.55172752,3204069.79513878,3500348.94469358,3524106.25667798,3545476.82554996,3593861.03861559,3564334.61600962,3536371.10189691,3958167.6219914,3913727.9348004,3927899.02296037,3848676.16518138,3840548.05771463,3872304.74872939,3792808.11931379,3872851.87725816,3747934.09202089,3917449.43225173,3810426.57966177,3812335.29158119,3820692.42878652,3792590.43691682,3779794.66334378,3677531.93595394,3888752.72119773,3797743.14793312,3434730.99434713,3361957.85994611,3428957.03997679,3402735.42545866,3309394.32666657,5706727.34974208,3293769.89370287,3482773.57557164,3332793.19604764,3711376.10408652,3646644.0745695,3683182.45034344,3635662.30456766,3591141.01358671,3668202.74886295,3619679.55223457,3745789.03584263,3611767.39840214,3645909.97983108,3835985.8318689,3702300.30277891,3606832.61131941,3617329.09450911,3649086.52695638,3521504.15319376,3660586.62506246,3559750.77054134,3846423.80380909,3837093.43269595,3885634.19924821,3840388.1288284,3801123.18676649,3884591.24564228,3718642.23962486,3770849.37773738,3844147.54845027,3699157.00642262,3702589.01106117,3752199.98899558,3666025.82849491,3634298.4096854,3594013.84177488,3586641.56529035,3676962.3724198,3717219.44850336,3775981.61091754,3774156.62647526,3875598.8689211,3870722.45158635,3835387.42462265,3861039.75864203,3734141.02657718,3851089.01848536,3788481.48724617
,,226.1337,2.00,,397146.88006921,439208.43259243,468235.911571238,435733.482699341,448860.201568716,440089.678051097,402272.171465333,447371.774239783,467292.282786744,403139.510745577,439412.212040774,435697.071716962,424224.099424702,399651.684954386,440697.610251459,424518.290982908,431568.644124732,401735.640578465,458099.751453302,424373.922398437,444735.659986012,416936.645232555,398461.767770129,394210.081083312,427520.905820113,398652.904959272,430755.302678958,385449.120387249,434636.744111472,429979.373532994,372751.114069157,364970.220856334,420241.163639258,369730.264546404,439535.938873778,422894.130610362,415954.058563477,407535.738904135,445620.943202933,438397.314141513,428234.98425183,429149.738694443,408176.167875467,450057.127839479,390465.887616316,417446.37428288,404724.463192705,412342.524720415,447305.338699006,400632.006791127,398689.075752347,400295.046171797,401023.913822629,423768.547380587,400856.389549452,63107.9486917308,423159.644394746,492342.873955342,204467.305930854,443449.213010465,413108.628588014,417573.558138873,432198.414748595,443620.189598384,443903.689517539,421605.271048948,426154.506699319,451897.973453947,423475.111404207,430236.370049157,412975.067629854,433537.298890748,651211.192322595,586589.574414368,604016.957827757,569309.398358295,544997.021209384,544452.462863696,569511.964668308,529642.045280537,562085.291367996,581557.236119126,489155.721059494,472628.790398628,501046.691813316,474053.986337007,474588.448241866,481503.706571248,447645.145652492,472407.657794988,501975.514315154,445489.180777017,444466.09488476,499514.594997065,448343.180783649,431032.523421831,444581.524522512,427799.562937267,415528.572332229,435398.782301511,397538.809379152,393373.501161862,381306.937082937,388161.17572943,372434.450529026,393157.135628648,394407.433103616,359346.505849117,445188.235086286,387768.629311425,411483.692403258,393598.000227735,396388.710569499,389117.457368058,407120.045252669,370356.586375491,390248.256587708,519135.695563354,379350.808807131,421631.753913959,453649.403763539,435536.749308197,398804.846009862,408997.349205401,367185.339757857,388606.009104497,509653.838142575,414805.374193092,465611.342621299,476717.932337548,454296.699119903,424163.978322328,439980.5765214,442569.170232892,448271.107083138,518546.795491914,520092.114460068,421777.29373929,486192.650853873,484682.824375069,484087.974573738,502973.049183179,473332.99289145,502140.342133929,723450.256707468,714831.552040401,724894.80494836,667509.197152137,665086.275234282,673412.21130059,632803.113767839,656961.921322487,656012.042768006,615282.96230587,591398.193446717,626270.674058678,582247.834422201,551797.400054101,566887.130353444,548981.509645994,563911.634541189,579554.862748003,480857.960740461,438650.104085631,505690.108251508,503666.146673094,449880.002711357,482909.406168484,441691.227589592,473507.121981021,467551.679819823,571799.309702527,521542.399904841,531398.788737441,518844.600591125,493178.043402508,504686.950671321,477210.40230939,520615.614786623,502230.388005007,543265.960637561,540362.066110159,526987.519170567,504765.150181882,518779.220656456,473273.161085038,480009.965799316,490576.580382052,474170.728640996,584567.762999757,565250.077126112,571043.857706979,547707.476143556,545659.091423906,478357.621331816,465851.884269891,458879.480074889,541079.170832639,560429.348491391,558839.89327376,618471.519485377,538644.860633107,519299.019930833,508690.625446695,496332.044500733,510592.223463789,531655.556308531,589932.626280302,591389.649528872,658147.326855352,588556.528427566,614191.624517425,571288.055167894,580302.170761021,590571.728217275,585451.732174019
,,650.3679,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18669.4348270873,,,31931.2143762144,24444.9372158752,,,,,303582.585486452,,,322579.436150799,320607.083710136,9517.62735478218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451019.00357776,,,455603.523398586,458943.035271637,,,,,6642.86460859864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494028.312110979,,,514826.15821931,501654.279684415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,284.1610,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264528.00946057,,278126.102100467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,403.1884,6.32,,291332.204718751,330909.229999999,323628.573357422,339022.514009766,245847.078140623,356419.587483231,319163.167933594,304408.261218748,364278.461572266,336304.690082703,370277.984295899,375951.817510986,358343.777728516,349616.949615235,353744.947269531,340683.922083985,306434.142878907,348699.464588624,313126.919320313,354266.696115493,371069.949824522,372610.746154298,364895.566396729,334498.883913086,349576.897736816,180850.478554685,357919.869314271,356713.642894303,377122.593172746,359270.549663083,345774.134824219,340382.591473082,379587.796110352,358201.542069581,337477.128421876,378038.101186764,353706.403629391,335996.940430664,356807.045003907,382679.207397582,360901.625015627,420502.314879092,362117.10539453,346469.563025329,350426.42764453,329562.791621093,362663.070056764,330823.247777344,383943.223018982,343830.688804688,326550.037777101,334445.696779175,354949.793880858,379453.112396622,314669.508806639,383608.533140623,332989.169371094,361061.182562013,115218.659556153,371587.537556518,327206.588109376,340403.261088867,363633.522433594,312063.680830079,292664.257640623,341715.089658326,296575.803468751,353802.210855314,356945.887606446,357106.425433289,343222.79359198,330547.818351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,211.1403,2.60,,339093.302337037,62418.2824578295,116991.81286377,265261.634789246,362710.79184897,373303.929034636,338570.951052072,366107.665536026,96031.1601699905,332240.280154028,139532.508291687,55607.8951260986,267992.007092377,167985.714270142,82382.9822888941,121909.584007302,243886.901340088,51584.4001531037,99876.5644459535,357349.07236563,103955.673383115,113115.837988311,350290.835793079,179783.836969681,82783.4743918856,93559.6138517306,81792.7517665704,43311.1905572816,80311.6462203294,215537.279704386,132399.5276185,117386.262578156,30606.369716524,364994.415969255,142932.039489686,91761.8285337222,86332.2315525009,141948.240157309,114717.686029583,375729.465397183,123926.654140686,28358.6343229065,385680.858426026,62306.2689021795,124662.592761748,76048.6494719265,210651.373139389,91099.0465819093,19513.2340525208,362715.405204631,14664.0201027012,61478.9341694347,343877.730361245,82458.1203452447,333441.793843776,58833.1210402986,125284.462156122,74410.2940729371,113369.910920364,187199.29377883,15083.8349033916,119594.068045029,67689.9619486929,29363.8928226774,31252.9277887878,33339.6710156247,126564.411895661,351743.643634722,44048.6805062256,15083.0357722798,140339.770803039,96811.478927381,472485.481704987,459836.01617363,458662.547149462,451391.263499083,434484.345209808,443452.399408432,460651.65411369,444547.988354829,462432.460673331,469112.312321869,446025.768321076,430750.137067533,440476.21132544,430108.840057793,427206.892664062,438437.764937197,437967.525885926,435866.863337449,430201.041637442,437166.129971925,422919.69083838,441996.624143202,423255.848365727,409840.351392825,412529.270028306,412658.016857328,403216.792840755,392172.060524963,408492.386385116,379440.202174942,373930.985620428,395236.88263102,389805.708566076,395211.759319242,410177.355055646,377064.437532486,391537.554466217,362577.214779282,399777.936459824,386850.689825262,385677.472589259,384725.814564885,408048.236328387,384225.573774656,392208.284104997,443988.341833673,386851.714850098,395988.268939713,414988.851531236,410791.231158864,393059.147523726,402035.955382996,379801.157099762,402809.146856782,419214.43281363,372176.534044831,400283.208086109,421372.715481034,409248.166351381,394340.860653029,402569.461174073,405673.648131258,426067.219554845,436361.362103577,406379.982151868,366593.987022739,409314.011292588,413377.364996142,428809.969204301,416101.010645348,420679.59107302,431568.644987455,494746.360211517,495347.637819651,502027.430764512,476829.483372529,480905.717124725,509367.361455171,468352.228538521,485243.093752308,476902.058701043,490625.371756091,487501.961421616,475377.766351646,480615.629928353,479116.899396933,483428.935297852,467918.051946782,480385.159393187,471151.227668427,435882.477830506,412051.461055687,425397.91457895,421128.072907521,414568.461903653,433007.501620861,403217.118300753,436144.242133851,423126.962949554,461050.617338624,446486.977977412,458012.896133485,445672.52326568,445677.499549214,457039.095996125,441367.531588989,483692.028709229,448536.096058286,439334.165335126,474570.587301284,455866.511538207,457109.852675753,443401.191697182,470077.6535065,442017.703185334,437281.442207121,452565.227012069,471970.595704574,463375.318052448,489904.36718866,487879.271122373,470422.765052171,473794.538020498,452173.18396222,457958.584164905,479998.876744874,454896.182777555,445714.446117885,450861.680648835,439449.201419056,447727.731303513,438423.29474539,431838.647844453,419313.357952549,460527.371997623,458089.091366623,456927.012919068,478451.7213785,454102.659661558,460458.25785945,471470.057833337,445890.651419618,470088.665477419,465088.100866868
,,254.0945,5.93,,,,,,,,,,,,29275.519899765,19389.7233063354,,,,,,13688.5439442444,,274563.788500917,287535.641302856,,,,,,280030.371484589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430317.575730912,452096.661837983,,,,,,413115.035443785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438201.135949479,438279.241809719,,,,,,430746.400359559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,198.1408,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30879.1439107761,28599.3325035194,45815.0439603174,7466.96996021272,,,,,,50749.916719585,107216.075285644,38111.6245393074,8070.76160379691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395983.591902004,377914.009604565,375777.692238368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447809.984416207,446964.670480343,446988.734331484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
