"Compound Name","Formula","Mass","RT","CAS ID",D6-2X-P1-A1,D6-2X-P1-A10,D6-2X-P1-A11,D6-2X-P1-A2,D6-2X-P1-A3,D6-2X-P1-A5,D6-2X-P1-A6,D6-2X-P1-A7,D6-2X-P1-A9,D6-2X-P1-B1,D6-2X-P1-B10,D6-2X-P1-B11,D6-2X-P1-B2,D6-2X-P1-B3,D6-2X-P1-B5,D6-2X-P1-B6,D6-2X-P1-B7,D6-2X-P1-B9,D6-2X-P1-C1,D6-2X-P1-C10,D6-2X-P1-C11,D6-2X-P1-C2,D6-2X-P1-C3,D6-2X-P1-C5,D6-2X-P1-C6,D6-2X-P1-C7,D6-2X-P1-C9,D6-2X-P1-D1,D6-2X-P1-D10,D6-2X-P1-D11,D6-2X-P1-D2,D6-2X-P1-D3,D6-2X-P1-D5,D6-2X-P1-D6,D6-2X-P1-D7,D6-2X-P1-D9,D6-2X-P1-E1,D6-2X-P1-E10,D6-2X-P1-E11,D6-2X-P1-E2,D6-2X-P1-E3,D6-2X-P1-E5,D6-2X-P1-E6,D6-2X-P1-E7,D6-2X-P1-E9,D6-2X-P1-F1,D6-2X-P1-F10,D6-2X-P1-F11,D6-2X-P1-F2,D6-2X-P1-F3,D6-2X-P1-F5,D6-2X-P1-F6,D6-2X-P1-F7,D6-2X-P1-F9,D6-2X-P1-G1,D6-2X-P1-G10,D6-2X-P1-G11,D6-2X-P1-G2,D6-2X-P1-G3,D6-2X-P1-G5,D6-2X-P1-G6,D6-2X-P1-G7,D6-2X-P1-G9,D6-2X-P1-H1,D6-2X-P1-H10,D6-2X-P1-H11,D6-2X-P1-H2,D6-2X-P1-H3,D6-2X-P1-H5,D6-2X-P1-H6,D6-2X-P1-H7,D6-2X-P1-H9,BG-2X-P2-A1,BG-2X-P2-A10,BG-2X-P2-A11,BG-2X-P2-A2,BG-2X-P2-A3,BG-2X-P2-A5,BG-2X-P2-A6,BG-2X-P2-A7,BG-2X-P2-A9,BG-2X-P2-B1,BG-2X-P2-B10,BG-2X-P2-B11,BG-2X-P2-B2,BG-2X-P2-B3,BG-2X-P2-B5,BG-2X-P2--B6,BG-2X-P2-B7,BG-2X-P2-B9,BG-2X-P2-C1,BG-2X-P2-C10,BG-2X-P2-C11,BG-2X-P2-C2,BG-2X-P2-C3,BG-2X-P2-C5,BG-2X-P2-C6,BG-2X-P2-C7,BG-2X-P2-C9,BG-2X-P2-D1,BG-2X-P2-D10,BG-2X-P2--D11,BG-2X-P2-D2,BG-2X-P2-D3,BG-2X-P2-D5,BG-2X-P2-D6,BG-2X-P2-D7,BG-2X-P2-D9,BG-2X-P2-E1,BG-2X-P2-E10,BG-2X-P2-E11,BG-2X-P2-E2,BG-2X-P2-E3,BG-2X-P2-E5,BG-2X-P2-E6,BG-2X-P2-E7,BG-2X-P2-E9,BG-2X-P2-F1,BG-2X-P2-F10,BG-2X-P2-F11,BG-2X-P2-F2,BG-2X-P2-F3,BG-2X-P2-F5,BG-2X-P2-F6,BG-2X-P2-F7,BG-2X-P2-F9,BG-2X-P2-G1,BG-2X-P2-G10,BG-2X-P2-G11,BG-2X-P2-G2,BG-2X-P2-G3,BG-2X-P2-G5,BG-2X-P2-G6,BG-2X-P2-G7,BG-2X-P2-G9,BG-2X-P2-H1,BG-2X-P2-H10,BG-2X-P2-H11,BG-2X-P2-H2,BG-2X-P2-H3,BG-2X-P2-H5,BG-2X-P2-H6,BG-2X-P2-H7,BG-2X-P2-H9,HK-2X-P1-A1,HK-2X-P1-A10,HK-2X-P1-A11,HK-2X-P1-A2,HK-2X-P1-A3,HK-2X-P1-A5,HK-2X-P1-A6,HK-2X-P1-A7,HK-2X-P1-A9,HK-2X-P1-B1,HK-2X-P1-B10,HK-2X-P1-B11,HK-2X-P1-B2,HK-2X-P1-B3,HK-2X-P1-B5,HK-2X-P1-B6,HK-2X-P1-B7,HK-2X-P1-B9,HK-2X-P1-C1,HK-2X-P1-C10,HK-2X-P1-C11,HK-2X-P1-C2,HK-2X-P1-C3,HK-2X-P1-C5,HK-2X-P1-C6,HK-2X-P1-C7,HK-2X-P1-C9,HK-2X-P1-D1,HK-2X-P1-D10,HK-2X-P1-D11,HK-2X-P1-D2,HK-2X-P1-D3,HK-2X-P1-D5,HK-2X-P1-D6,HK-2X-P1-D7,HK-2X-P1-D9,HK-2X-P1-E1,HK-2X-P1-E10,HK-2X-P1-E11,HK-2X-P1-E2,HK-2X-P1-E3,HK-2X-P1-E5,HK-2X-P1-E6,HK-2X-P1-E7,HK-2X-P1-E9,HK-2X-P1-F1,HK-2X-P1-F10,HK-2X-P1-F11,HK-2X-P1-F2,HK-2X-P1-F3,HK-2X-P1-F5,HK-2X-P1-F6,HK-2X-P1-F7,HK-2X-P1-F9,HK-2X-P1-G1,HK-2X-P1-G10,HK-2X-P1-G11,HK-2X-P1-G2,HK-2X-P1-G3,HK-2X-P1-G5,HK-2X-P1-G6,HK-2X-P1-G7,HK-2X-P1-G9,HK-2X-P1-H1,HK-2X-P1-H10,HK-2X-P1-H11,HK-2X-P1-H2,HK-2X-P1-H3,HK-2X-P1-H5,HK-2X-P1-H6,HK-2X-P1-H7,HK-2X-P1-H9
,,472.1231,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503054.8380365,,,2732292.71115652,3629125.09039196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12475431.4843809,,,13367021.7990633,14753268.4672283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21055.3378403321,,,28011.4651345824,17959.2342668151,,,,,422692.507728258,,,735711.500076703,709844.207304386,60647.3028295898,,,,2257918.07299805,,,2273160.08175293,1659046.90973046,100246.799391723,,,,43793.4563927612,,,61837.5143748016,87818.2287703858,,,,
,,410.2118,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20290.8182724914,,,,,,,,9711429.07612162,10599554.2060346,,,,,,9672266.33644754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75779.7908844909,85865.8185557862,,,,,,33905.13192202,,795699.214186936,1171614.33524227,,,,,,465234.974521668,,5734331.73626684,1356674.09652618,,,,,,1281035.25503938,,44906.0767507935,49831.2722798461,,,,,,65216.9126532593,,,,,,,,,
,,413.2182,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2973259.45550013,2356711.42947551,,,,,,291763.171087168,,210737.573726227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489084.086221983,573102.942006912,,,,,,514737.813165833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102092.219264709,101183.462183273,,,,,,98551.8937575684,,,,,,,,,,,,,,,,,,
,,479.2068,4.82,,,,,,,,,,,6064.28718226623,,,5612.03568284601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12334039.6448874,,,11726659.7993734,11560545.1941452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416866.309023404,,,955547.788851867,1038142.75284448,149055.642655151,,,,777752.762043451,,,416938.778235998,1176045.20958765,335074.702401872,,,,21134.4966315307,,,52818.5392495119,26679.9443035506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,404.2547,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108899.98868705,1143055.96033312,1283332.45689529,,,,,,,,,39887.4343297654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4702173.04026814,4675845.66923409,4564840.41192999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5412.52074755855,,,,,,,25710.0577434805,21614.4386102981,17383.5690981417,,,,,,,201770.993567066,236924.301715439,341193.422370091,47989.6228121215,,,,,,1438124.21281546,1828020.91049409,1528654.14967668,48572.0248636139,,,,,,,15685.4694431286,31928.2750516034,,,,,,,,,,,,,,,,,,,
,,530.1485,4.60,,,1905744.01657063,806195.86903894,,,,,,306699.094582457,,,61168.4681393434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7648327.2867675,7732312.99350233,,,,,,7751679.79077095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499985.78112497,2190947.95752979,,,,,19780.437058281,1307234.2351867,,107423.156796707,133787.63393396,,,,,,48199.2282389374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,449.2309,2.80,,,,,,,,,,,2895703.87299219,,,3410901.62030468,3186351.66018079,26844.5485037842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24131.8550328369,,,18059.8019943237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20347.4908020935,,,23019.5441918182,23232.5895668945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,414.2061,7.13,,273447.17842392,198175.589339437,228462.485516986,262881.772496999,2325477.27659301,277755.652197703,227280.020353228,228318.457625706,224234.224031025,291775.466291387,168862.825284135,201012.657944605,251135.820016765,537689.993689474,241219.251472121,227825.070786468,239595.150165157,196531.285922544,250519.977288813,243022.374737986,215410.904187532,255340.37870229,224813.85591737,270583.273159856,227358.000799605,94221.5989984079,203912.062241245,225366.035507431,284854.52561011,245207.533031304,257200.315325874,280395.302722815,266551.268606886,266134.825425069,230131.908881242,225473.319141943,258688.773588716,235656.063709876,223711.812222883,218655.52000996,242909.458315396,194305.382823254,213751.201963071,201691.959632535,236190.448370895,312636.593021151,187987.923810505,235478.024028135,230821.256981454,215833.466270779,224898.280510406,204626.71017148,218739.161605245,258474.431868039,244144.399422027,152849.514790086,207194.458640524,215065.87081305,188091.157337373,240764.205808337,228095.803120348,228037.882823851,248690.64747777,239222.61768233,202625.569082823,224463.449462153,241620.137737577,190891.287098917,223728.206986662,263308.599799113,302446.827517775,246538.755311405,880469.719462097,687901.535050186,652202.358581413,837713.325581912,5018184.43550581,865972.181209603,775793.557808964,734101.643941296,717127.988204302,901605.019642388,601911.360263652,559010.687297072,753511.485857761,2345144.90161966,738269.520525839,686831.83809007,670886.384978053,555602.912464337,756149.441370389,785574.98962531,686443.295867615,763755.547142775,699742.018195764,734189.286402625,747091.32930027,3549924.98685909,645598.888966098,656782.042560936,955623.467611394,689993.306813115,703366.107127953,857205.630594275,696573.317125322,757355.591707158,583053.38275531,711092.512448645,792462.55025214,801211.870857015,711117.651740848,626028.918827395,758348.324578464,620209.611926757,703124.375579433,615617.297177244,695140.345124835,858883.756728773,621939.79160793,734819.264096817,648434.418310599,650473.719447013,674181.78441607,627725.097605383,651378.683671271,630116.675166241,744347.633175151,580029.719338741,598685.146423954,659783.23349769,585144.439552763,629282.028461764,739733.566264229,676985.723752505,649719.016573884,738881.586868471,583158.663122965,636044.443969311,654403.313948858,566432.57703374,712292.049235789,900573.347663075,862794.399890991,707407.498649211,317126.914195121,246577.109294023,226385.428501575,298499.139501676,604306.758810251,293219.067763196,300998.877456467,292309.9155272,273225.874261778,290060.006339252,232551.604623565,217183.463726403,269753.490639276,419326.449743621,283598.012935924,292327.393766467,303140.589845625,256066.914986455,296729.550921827,285170.115075371,246320.761127407,272393.118948417,235398.296224055,271815.331694556,274387.183514798,748725.556522976,242746.723850252,291740.072275012,274226.239308532,234228.668237887,247220.410903519,287018.35515292,265860.969385927,321190.368627198,271815.512462601,255290.60241355,263145.457170231,260738.941839182,232090.406306779,297067.108975563,340980.547578861,268796.412658485,272777.850340806,271349.684999453,235390.545469295,287024.105297612,205628.116467239,243037.684726327,255028.222074391,190493.798452349,246872.253972419,222248.698240115,229040.021238596,229397.954320092,237048.091324631,194663.030692527,214690.356432751,204907.166044608,184070.758615794,246030.95578673,217096.232120754,238722.005092962,228835.563127803,251745.339431321,205454.731802199,222424.41320807,225343.219971429,164517.676093361,249960.146202541,267247.776719311,267648.869763089,218789.65190785
,,99.0687,0.98,,3968629.5265084,1946326.76888883,1400630.56322966,4300955.91350898,4566574.04248247,4737492.44815586,5060051.47767887,4655486.73622284,3219176.34678259,2577805.65100049,4969400.38120848,4776000.09592155,1326948.02653861,890684.328834102,1611901.700251,1010386.19094901,5117984.12496694,5052506.87974891,2626101.49084103,1344039.33507538,2704178.83628134,1728508.22679006,4105674.00259481,1490600.55951894,1434434.91504424,207121.310434996,2230990.25190092,1205852.01636823,4349947.379318,2433341.3752207,4862679.08660582,4151663.30885909,1443535.56421429,5473494.36031317,2336746.04423704,818382.952084054,1605218.91563918,1926029.7828351,990960.096340332,715493.537472328,916138.643465926,820586.836698234,944662.237836911,863243.404643953,630091.044337549,1032649.49473184,1370989.14039196,924573.95970078,500686.185477037,379767.271890901,516456.818574428,334399.670936057,2871842.38111771,1133122.795778,1540560.51814001,4659890.88857315,4445215.25676903,957937.550599798,1028825.70750738,978052.945425262,1976035.14108455,5132741.07596459,4790218.32987263,3352971.17496476,4725861.6852817,4468598.73930258,4887388.05123547,4141698.6745842,4289864.69620405,4436504.6659586,4628804.9182112,4867379.75133241,516183.274853072,495928.608599562,502552.090561368,472788.418289366,455611.617913258,439087.999750254,455616.912189526,469044.104493325,476000.750001445,482230.598998789,413525.938558309,413119.153288233,394771.249092959,409481.127784153,408059.196688319,407156.345564599,402344.984145396,399843.371046524,426046.042856405,403655.981856089,382662.805256647,419650.76602482,375434.707698296,375329.380441432,402450.673802796,364652.33658348,359295.684475066,363517.227634351,353685.825762019,313241.68693201,323829.783285126,312172.806889968,329560.312940538,345556.957924156,329829.485787088,299571.773366763,376441.016715907,333504.008234883,354469.373791,370205.77396861,325899.191783191,333607.401030784,331624.925482665,316066.105126657,350753.72177905,410048.738628102,332559.868183007,342991.554379918,371195.616879649,355262.820177757,352241.467049692,352624.27590362,331755.484070281,346209.740163328,433490.923344433,432322.158917541,410981.612141936,408104.384328135,399195.091726172,376284.724367911,391770.610823977,370614.658156522,402666.579736511,458221.644937341,440566.062299006,392768.086049547,416444.112519501,393539.92568057,408252.0478181,437596.086125267,422803.609637511,439639.27848369,733972.021644282,819122.285532196,863182.276389493,834051.253858459,856754.255430487,864698.702576594,758339.573022956,856759.221211883,920275.728820284,740415.702185427,875357.798440611,841216.580897633,840966.02995227,784899.572360664,877284.223737787,823238.823446536,852492.314235405,796849.294116405,851381.459703423,832220.073779175,869483.733251161,849955.592690714,771748.31926436,816209.036479754,823984.863995434,769303.445563865,806729.504730777,757463.075889093,824771.088445514,810195.611911797,705097.341058496,705604.276513195,778430.450481231,743718.843934388,838575.282423858,499431.478152724,787313.891469314,791551.921599533,845994.94961747,821512.572814257,821547.963081157,826458.345638892,812983.918930899,854999.66509873,774953.710274895,757093.365066297,825370.191333741,814515.262007368,792082.593239525,748440.843907048,815528.523721073,779390.873691786,784488.380976453,833387.814256776,733038.955482043,880556.76593069,827898.946753904,889151.66333025,856169.714541468,829442.655031494,818006.579392666,845843.046715564,832683.214591176,832629.684248352,841043.851525903,833169.650486549,802486.420532737,837106.724532904,824310.700084074,865682.110045025,793440.99833052,853047.302257626
,,433.2110,4.27,,,,,,,,,,,,,,,,,,,,1440883.40680915,,,1288286.45497993,1182411.30533734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4084777.91202523,,,4284793.9809263,4110121.02275234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9029.51727798603,,,28891.2841537378,54287.7305436509,9080.26617122839,,,,191933.498097031,,,346293.075090664,303814.55728395,127289.047132799,,,,2716740.46641968,,,2648414.98517912,2569825.71642987,52355.8363971244,7856.39999162578,,,13238.1594084882,,,12243.0337185793,8528.6436778908,21995.4574914315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
