"Compound Name","Formula","Mass","RT","CAS ID",D1-2X-P2-A1,D1-2X-P2-A10,D1-2X-P2-A11,D1-2X-P2-A2,D1-2X-P2-A3,D1-2X-P2-A5,D1-2X-P2-A6,D1-2X-P2-A7,D1-2X-P2-A9,D1-2X-P2-B1,D1-2X-P2-B10,D1-2X-P2-B11,D1-2X-P2-B2,D1-2X-P2-B3,D1-2X-P2-B5,D1-2X-P2--B6,D1-2X-P2-B7,D1-2X-P2-B9,D1-2X-P2-C1,D1-2X-P2-C10,D1-2X-P2-C11,D1-2X-P2-C2,D1-2X-P2-C3,D1-2X-P2-C5,D1-2X-P2-C6,D1-2X-P2-C7,D1-2X-P2-C9,D1-2X-P2-D1,D1-2X-P2-D10,D1-2X-P2--D11,D1-2X-P2-D2,D1-2X-P2-D3,D1-2X-P2-D5,D1-2X-P2-D6,D1-2X-P2-D7,D1-2X-P2-D9,D1-2X-P2-E1,D1-2X-P2-E10,D1-2X-P2-E11,D1-2X-P2-E2,D1-2X-P2-E3,D1-2X-P2-E5,D1-2X-P2-E6,D1-2X-P2-E7,D1-2X-P2-E9,D1-2X-P2-F1,D1-2X-P2-F10,D1-2X-P2-F11,D1-2X-P2-F12,D1-2X-P2-F2,D1-2X-P2-F3,D1-2X-P2-F5,D1-2X-P2-F6,D1-2X-P2-F7,D1-2X-P2-F9,D1-2X-P2-G1,D1-2X-P2-G10,D1-2X-P2-G11,D1-2X-P2-G12,D1-2X-P2-G2,D1-2X-P2-G3,D1-2X-P2-G5,D1-2X-P2-G6,D1-2X-P2-G7,D1-2X-P2-G9,D1-2X-P2-H1,D1-2X-P2-H10,D1-2X-P2-H11,D1-2X-P2-H12,D1-2X-P2-H2,D1-2X-P2-H3,D1-2X-P2-H5,D1-2X-P2-H6,D1-2X-P2-H7,D1-2X-P2-H8,D1-2X-P2-H9,BG-2X-P2-A1,BG-2X-P2-A10,BG-2X-P2-A11,BG-2X-P2-A2,BG-2X-P2-A3,BG-2X-P2-A5,BG-2X-P2-A6,BG-2X-P2-A7,BG-2X-P2-A9,BG-2X-P2-B1,BG-2X-P2-B10,BG-2X-P2-B11,BG-2X-P2-B2,BG-2X-P2-B3,BG-2X-P2-B5,BG-2X-P2--B6,BG-2X-P2-B7,BG-2X-P2-B9,BG-2X-P2-C1,BG-2X-P2-C10,BG-2X-P2-C11,BG-2X-P2-C2,BG-2X-P2-C3,BG-2X-P2-C5,BG-2X-P2-C6,BG-2X-P2-C7,BG-2X-P2-C9,BG-2X-P2-D1,BG-2X-P2-D10,BG-2X-P2--D11,BG-2X-P2-D2,BG-2X-P2-D3,BG-2X-P2-D5,BG-2X-P2-D6,BG-2X-P2-D7,BG-2X-P2-D9,BG-2X-P2-E1,BG-2X-P2-E10,BG-2X-P2-E11,BG-2X-P2-E2,BG-2X-P2-E3,BG-2X-P2-E5,BG-2X-P2-E6,BG-2X-P2-E7,BG-2X-P2-E9,BG-2X-P2-F1,BG-2X-P2-F10,BG-2X-P2-F11,BG-2X-P2-F2,BG-2X-P2-F3,BG-2X-P2-F5,BG-2X-P2-F6,BG-2X-P2-F7,BG-2X-P2-F9,BG-2X-P2-G1,BG-2X-P2-G10,BG-2X-P2-G11,BG-2X-P2-G2,BG-2X-P2-G3,BG-2X-P2-G5,BG-2X-P2-G6,BG-2X-P2-G7,BG-2X-P2-G9,BG-2X-P2-H1,BG-2X-P2-H10,BG-2X-P2-H11,BG-2X-P2-H2,BG-2X-P2-H3,BG-2X-P2-H5,BG-2X-P2-H6,BG-2X-P2-H7,BG-2X-P2-H9,HK-2X-P1-A1,HK-2X-P1-A10,HK-2X-P1-A11,HK-2X-P1-A2,HK-2X-P1-A3,HK-2X-P1-A5,HK-2X-P1-A6,HK-2X-P1-A7,HK-2X-P1-A9,HK-2X-P1-B1,HK-2X-P1-B10,HK-2X-P1-B11,HK-2X-P1-B2,HK-2X-P1-B3,HK-2X-P1-B5,HK-2X-P1-B6,HK-2X-P1-B7,HK-2X-P1-B9,HK-2X-P1-C1,HK-2X-P1-C10,HK-2X-P1-C11,HK-2X-P1-C2,HK-2X-P1-C3,HK-2X-P1-C5,HK-2X-P1-C6,HK-2X-P1-C7,HK-2X-P1-C9,HK-2X-P1-D1,HK-2X-P1-D10,HK-2X-P1-D11,HK-2X-P1-D2,HK-2X-P1-D3,HK-2X-P1-D5,HK-2X-P1-D6,HK-2X-P1-D7,HK-2X-P1-D9,HK-2X-P1-E1,HK-2X-P1-E10,HK-2X-P1-E11,HK-2X-P1-E2,HK-2X-P1-E3,HK-2X-P1-E5,HK-2X-P1-E6,HK-2X-P1-E7,HK-2X-P1-E9,HK-2X-P1-F1,HK-2X-P1-F10,HK-2X-P1-F11,HK-2X-P1-F2,HK-2X-P1-F3,HK-2X-P1-F5,HK-2X-P1-F6,HK-2X-P1-F7,HK-2X-P1-F9,HK-2X-P1-G1,HK-2X-P1-G10,HK-2X-P1-G11,HK-2X-P1-G2,HK-2X-P1-G3,HK-2X-P1-G5,HK-2X-P1-G6,HK-2X-P1-G7,HK-2X-P1-G9,HK-2X-P1-H1,HK-2X-P1-H10,HK-2X-P1-H11,HK-2X-P1-H2,HK-2X-P1-H3,HK-2X-P1-H5,HK-2X-P1-H6,HK-2X-P1-H7,HK-2X-P1-H9
,,531.4320,14.59,,,246323.485753968,296852.073934722,386993.743067322,438496.244392075,325037.161839599,,431418.149142708,318637.814516693,329310.122361587,281145.750817245,953428.3121438,344680.705981338,232007.845136658,267059.663052765,332218.676968704,343852.792473938,334070.218085419,350470.604206619,314542.396144638,316099.284424637,384953.304536552,347023.071247009,384052.538033997,383706.998462342,306983.186641571,354679.46597435,366031.072385315,252639.694863098,253382.774460846,326386.921893234,304440.043294601,333950.615086075,343756.725148651,293608.314955963,258828.919579651,287682.098380097,109059.783248108,322374.61397757,297847.512444153,258458.565203888,275746.505135536,301602.998463425,302520.346446838,306274.561171067,337130.753661072,316338.577240357,94443.5259145205,,316313.934541199,304800.819102325,310595.229459198,131871.514279129,329366.146976715,330688.030509125,334340.540522004,,141222.23236017,,334580.967195465,601869.893903473,342251.394782928,,349548.611957367,362280.786012298,396229.961915588,,641398.77051629,521824.507116425,419560.193820938,435533.19050087,73431.0177642824,400147.597625183,,630940.423079895,389814.130673065,,355544.872819618,433417.689135148,,,,,637845.968833358,467098.671380462,525162.336929627,266999.416690307,902964.229180664,539065.343942551,366835.237140946,398126.482734024,189742.744855011,432593.372174865,360940.259172348,286594.655101456,221293.701684448,216319.28180214,282517.462839263,258431.362446564,294222.332373917,296374.127114732,224687.72501648,113122.099100342,243008.849813415,141233.424390549,175321.685483292,220320.831506287,204702.641704178,200312.435829834,199974.824392014,171673.838836792,153145.197993515,158901.786581558,164191.251516678,213938.994619079,177889.092014496,159283.044001251,157472.249065033,178313.129904663,173287.703193893,190409.185737938,194785.729315186,155246.258007919,155430.687325287,178283.22844635,178302.192673279,171727.082541565,181834.122948822,174068.840037109,179659.426295731,148872.645016922,409126.219327683,325265.9750588,178494.55107576,355800.291280197,178265.225162598,202111.121822891,209404.020545257,217700.398624512,206928.165719124,260051.37326419,283576.137038163,221443.2596408,220504.287789734,,,193939.904449638,221152.206290939,,,,,,,,4715.18078301996,,,,,5438.28670257566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,302.1889,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707431.564056281,814512.955286457,749905.572386189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750787.038727297,763927.596321049,742637.761145231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45348.17508115,51116.0989858061,74307.6699858318,14624.7051809569,,,,,,91672.9758206321,181798.815366209,67067.8668794279,14014.1721056456,,,,,,,,9785.84906810045,,,,,,,,,,,,,,,,,,,
,,123.0724,14.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168992.872757893,129947.695971303,137018.57793488,330075.947588778,151906.332590817,147502.96591023,185216.149776447,144745.141450755,119100.572592454,250526.7076469,406913.993949088,186448.40734375,158794.996044912,68926.2329518512,389189.954942179,204710.579837891,126130.597097057,148585.376729508,180792.489877667,177007.269263093,158001.245583756,113956.124971411,153932.097467747,515437.119892063,170452.826541419,107418.771260989,158556.021593326,114827.953219466,308212.970924821,116904.049985249,152514.148845404,119506.901014803,169305.699116169,147185.092532893,177896.929777558,154038.761819698,167058.213600956,181334.274638723,116500.05818885,237221.186753352,629012.921657724,296891.739290543,213656.270959473,133236.887513763,117207.021512762,204480.791806492,206451.115746957,902746.672676343,431437.133785415,664710.762270898,211264.86951654,469197.52623291,119704.432275075,214745.762562226,255923.784472107,201192.643838526,451197.721056954,142691.687412914,139076.681535644,231747.761925468,109463.871710019,389860.313377246,164998.05234168,134890.11270866,138623.840140841,279231.128697271,185676.617337743,179696.534516326,320690.58769357,211640.46529166,142940.198520996,150246.57389799
,,142.9431,14.62,,3031.58669311769,4829.26946614961,3371.45925754668,,,3687.59904444462,6137.18621743393,,6769.57748728499,,7740.97567913126,4672.81622484448,4435.9881196046,3716.06017848523,6889.90234346857,6110.31514080324,8093.08062318783,4034.57458354162,4401.85717026051,,6894.08472284658,5239.41265943422,6658.0140233404,4860.61061117978,6188.8840287701,,,5058.66880554428,4471.86074474638,,4491.73847518523,5574.4424577871,4804.20220555234,8218.65694380538,5402.06819400542,4923.11513344046,3988.55303509843,3653.45456876878,,5904.66956804252,7958.56084403424,5091.30940743359,,4668.8867948682,,3324.26050745055,,,,4862.44613053207,4681.65240669031,5047.78019481983,4211.75826176547,6500.36490509921,7787.45597937032,3889.51618606222,5216.26252137642,,3514.13043748373,5810.71054033918,4554.83255762333,4825.90217075693,4680.96032893554,6093.57652977675,6938.1132229244,6226.5663046674,73101.9652154876,7266.98594264348,5397.72741738187,6826.56512584535,4659.41055094893,6954.27689353248,4906.05830482353,7508.02085869105,10410.160305177,3492.88933879147,3228.5348535472,4712.58079038571,3775.22104566555,3413.10124703035,6563.97289051383,,4159.50469140161,3972.96482465059,4238.03076616992,4713.73896204893,6400.10187017758,,5196.04569033016,5294.16489766166,8823.98327429249,,3832.67723033503,19650.9208411558,5162.55122411392,3445.79892461905,2276.54514919784,4324.75966769988,,4914.0198025682,5510.1604750033,7400.18334902565,5539.77240860068,3234.62583217599,3738.23042509142,3804.26786088869,,,,2488.86577709845,8872.33095597475,5810.64244430318,19316.1498638578,3880.52470712073,2891.70585841369,4805.40318527126,8488.11495966124,6129.06831818773,6558.4279314855,,,,6450.1660333677,5063.94378071286,6687.65838319003,4263.43487259801,6507.19612487809,6519.09399911703,4459.77242266868,,5921.66095837346,,,4641.95124429606,,,4510.74014305105,3329.93840866388,4828.62837716203,4517.13996113172,,3730.92100188911,3872.72313126614,5491.57910086018,5262.02590884017,4384.85979823994,3558.69192600127,4545.50052276563,450447.865019083,376411.698362233,353205.703167692,381646.367281611,398046.441719184,296704.267404084,502295.064793897,384441.264657528,336066.840846797,481025.250135144,349075.376288097,165551.456314681,169257.392793143,335817.683371164,468439.166681915,296570.630006769,390446.116383445,446963.991622769,337767.881813149,367416.597595057,402621.596116729,327372.431667905,334676.949435233,492540.203320977,392700.422059673,407148.90487292,323103.724062062,395960.680819332,379686.20288204,364504.868318849,377032.802129255,603355.486133439,645499.847312946,447180.361643628,432416.916691998,358909.811425383,381026.776079976,333272.021974083,323097.82059564,1604554.06088337,398609.879903101,361059.957889154,330300.206909557,484903.666354349,427945.892949996,391144.841912081,441556.641598392,353708.988150178,420092.01477165,450005.180986696,411543.035010734,317496.991766599,55609.2081682349,377522.793012057,383546.583392587,372850.38670325,477009.098722316,380669.090424121,421655.014986054,386259.252903408,417463.814033717,368896.780025672,405971.804554596,406849.913804005,422542.085183342,450032.083280885,401453.625911598,426811.221707796,435611.866638074,402468.619237494,388642.116524282,449598.64686051
,,102.9485,14.66,,513970.437023395,179974.495772737,187586.317170234,377440.926089616,180872.753220755,288076.38018522,512205.808062398,381097.518262877,130993.578060062,192615.804842564,152773.402146759,344906.399597223,584768.979754129,206572.137121476,184378.867864765,187655.403760426,160894.704140867,534590.270185143,430828.302774757,146467.037469785,548030.519365539,528605.563234329,186728.845998553,175583.053920906,144687.444966797,536936.862613089,184505.51282396,532856.22851153,173817.614513656,580937.514339127,525105.004949535,135255.187861948,555163.369622904,154933.245138004,122887.664427485,580028.937046695,549445.421678261,570559.143854114,162260.668573205,536097.289685824,529931.682899444,564191.716039967,178790.45356047,134861.510526042,196274.016735872,539399.12268798,564390.913524728,530525.380005626,153385.249935555,558990.286575552,170597.001579567,156440.652342351,186157.422133537,177908.638586038,528242.458494305,572493.755284035,689090.04654136,493959.378599966,507010.618366145,134745.283731324,576511.871140267,180330.99050637,175032.691053008,374781.083940829,559940.886561843,376644.89758176,509549.829221267,491956.795734133,510485.975971871,565475.269985216,577935.910957404,173845.778676739,574998.4556635,522113.192754218,454154.362903298,252792.495119916,418433.595045959,349482.246435892,480418.109357687,494975.38250053,145391.506544924,153208.982210934,485284.264817272,376636.086784628,236854.580857055,531352.251021148,178223.417378905,542783.397894829,565284.412194404,212269.485663717,170271.130595703,577354.421715831,575024.685979092,198030.504039063,597747.829954073,592771.950165343,261760.590987445,771699.000222133,627657.99497438,668083.449920382,185543.476904298,601457.202222018,87800.7181089716,571777.841676126,238540.634579093,569551.678836224,627121.401737936,598682.535460661,296761.810471041,588533.179005751,414682.34779181,452247.655720605,646671.209271113,317174.256119634,647518.341218878,675478.468487018,618143.275073822,730382.843745927,192093.150382158,163673.794007123,434876.297337347,615040.58129508,236482.823051679,726022.748172748,642824.815395134,652463.484233043,157628.01561458,264141.988862105,190076.116457473,633504.647112409,175798.81128481,643535.927460785,199246.052679684,692953.889070872,703009.825844162,605096.863493383,242279.390371607,386575.328792921,575282.763328521,727022.519315272,510963.595519327,225388.843845125,699605.306112278,213109.437835939,332121.636653927,660818.857116157,660353.484931569,656312.754269254,567362.847965707,125294.6942524,478829.214201281,472585.356772656,525560.43591871,520042.399910595,464778.703322894,151317.779627595,323375.867839943,450498.99379581,89458.4879454651,143642.800609691,153150.05396464,432911.701161135,406062.749830735,276601.145945218,462775.369204648,349184.861560198,327939.64864586,213602.522607658,114015.884872988,451185.571782173,69917.7034195482,430534.164193578,406233.631759807,376963.72945697,101807.919791967,65935.4780480947,341696.575188839,65018.2482990134,420769.438046523,395094.116130775,490638.554276563,407900.738889149,412267.83033129,131050.812835803,348311.218777811,61687.4732500015,446129.703961336,480884.368086111,417684.638438396,89650.7531395139,227616.386154322,36526.0271864921,485910.116585015,64408.0119991679,11331.1091461877,414253.56901723,392316.09728926,473763.617825598,367640.835352267,435545.022191187,447708.010935491,65743.4549610303,484611.827537555,425699.516238729,410001.215236834,411764.501133767,410857.20366574,534235.648182616,439187.61588191,411728.776011062,422416.185840899,65490.620602233,386550.533174597,410325.498718675,490437.712982874,406421.789495989,449697.002388626,373285.072387967,461535.313378853,434507.306911464
,,140.9516,14.68,,2476497.6679652,2397220.45678071,3001109.75757478,2893027.5170392,2371623.28369407,1834536.21753099,2900044.44273387,2410006.47538368,2396788.38800166,2372920.2114523,2839516.40454223,2984797.68815353,2409270.37956908,2987963.49487429,2417319.0271354,3054547.18602286,2336091.62208044,2463472.96254577,3101150.81926809,2450570.02025804,3189680.36233524,3038531.86576702,3063410.18732707,2393520.9315064,2220651.85377739,2586982.86246228,3222200.81279209,3015286.74503176,2306054.23161124,2585115.4356145,2354721.53797719,3230796.32453606,2135175.58151202,3238446.6674389,3216094.91792558,3068177.26908571,3168271.83334227,3269674.55469471,2522078.03084212,2585327.58939131,3164351.62152964,3275668.8568643,2502662.8386883,3149084.76680573,2637034.86185201,3256891.18435907,2606426.47909799,2608071.54741965,2655160.41206742,3153017.34485257,2585507.55974711,2406547.58266808,2584448.75188231,2792586.95506502,2382850.97289305,3216309.24431537,3854246.92362448,3294999.96687214,3420612.75936631,3099533.4634394,3264472.94466874,3338229.65964479,3254156.02497335,2289439.30625036,3269256.01186142,2670421.66016353,2603183.3748766,3640734.60072993,2685662.73145243,3238441.29453041,3116377.12417088,3167465.88665109,2480209.69576688,2605476.83735086,2813029.84018729,472403.100152341,3367223.41062658,2630729.85178323,2981443.82643494,3377478.43485935,3201182.88355474,2535204.57875452,3294610.16434914,2537159.43874587,2634182.54960801,2499672.38854011,3162111.8376798,2510064.81779732,3037149.78944594,3133953.60141071,3148813.89029451,2468594.00937178,3063656.10704937,3069228.61802276,2555450.6384651,2959617.72003007,2343562.77271889,2453728.61480707,3035921.24938655,2588575.12074324,2940879.8053998,1846652.32879325,3076360.99190771,2422563.54217076,2577909.83784456,2078766.95982737,2968563.54041496,2998144.00525867,2491399.41454129,3048209.10945793,3112561.3994502,3104210.28307201,3024145.72350613,2964543.86950862,2432970.38328399,2426065.55525129,2474256.26922369,2994211.60304552,2419902.86359606,2397301.0745068,2506660.77617703,2989106.69702124,2600243.89552129,2426472.9158547,3070207.32136937,2345227.55060626,2448501.66799506,2446266.2385091,2299879.83011172,2550875.21243287,2303078.07292675,2896138.29933112,3107426.97005059,2981004.44923995,2505516.10470281,2204215.58369408,2354068.89591195,2193273.52889655,2414705.23030561,2934538.43440565,2437724.80413468,3022360.36175633,2314136.99367203,2302281.63048887,2368437.97023684,2385543.51319997,2276566.05346155,2544854.85379012,1478957.84233985,1841954.72495846,3587979.94939709,3664801.19089879,3626531.96153953,3719371.88449351,2413956.84855742,2456367.25235665,2427786.71522635,1509893.73169414,2513289.08819357,1559220.37171419,2431867.12370003,2144757.52010758,2716110.02056563,3508560.91982983,2523988.26222245,2241353.72961653,2523049.1535203,2472071.23341848,2446943.91658236,2408083.81306994,2428319.76386222,2795334.94484822,2109586.58806595,2178343.66319466,2398242.28439974,3311821.81757368,1611211.90860742,2238810.37270891,2128453.90296459,2253509.18272998,2274381.95400023,2304024.76036304,2193271.5453218,2390638.16820466,2466850.89179572,2480797.64022045,2199874.45696825,2283457.92983037,2368299.78555105,2372053.97978179,3356063.5704664,2230414.58308347,3289656.23909476,2394286.37228945,2015030.01048387,1941050.51659591,2004753.47726712,3189512.0098103,1417484.93674154,2274034.98048867,2173091.11269241,3324922.77796365,1886444.03873742,2259015.56753453,2137219.78233287,2325725.9123038,1623735.08409003,2243325.80235329,2315398.96615846,2183078.43206246,2188804.39419883,2529223.35603603,2356946.57560634,1985254.93944064,3200043.2795554,3039223.97003226,2204835.56830549,1939434.41318666,2292881.36083591,1311594.04167122
,,802.4136,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630319.797694626,,,652879.231677046,628222.706659168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856414.412395998,,,814369.346707889,837574.132291665,,,,,66426.5185445704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7445.98507431029,,,,12048.5698634269,,,,,110727.287406326,,,155332.224020846,138745.035969582,37518.1505644476,,,,438633.289534232,,,446005.127947239,444628.331232574,64460.3320158553,,,,20701.4077479668,,,22766.2245371856,21207.2985884841,6470.50568981152,,,,,,,,,,,,,,,,,,,,,
,,364.2616,6.82,,,,,,,,,,,,39301.6556726836,54489.4176741485,,,,,,33675.5697319334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709715.365799226,697252.426037172,,,,,,738419.144854824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30528.917939789,28984.7332542724,,,,,,18131.1649115753,,432022.978799928,422607.060186219,,,,,,408907.863009126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,386.2439,8.25,,,,,,,,,,,,21970.6583974457,28599.5443349307,,,,,,17919.4372753526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725282.933977043,730851.138508175,,,,,,705600.724852843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36351.2962690582,32869.7238405609,,,,,,19302.6738057711,,320994.601957869,317459.192063216,,,,,,321475.452434265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,244.0882,0.98,,400158.808962386,366074.32153373,321254.510268652,368475.460990987,350929.110729195,356491.585256536,345302.771263289,371349.318455002,333526.466921873,428198.221537982,414891.127941882,414951.200906317,394697.505421108,394733.510361545,349829.79704929,373449.060025447,368868.53847563,353862.15437326,398238.943347652,378612.473012301,346363.009945603,345622.197202067,349648.378453097,336906.102713035,353840.479626818,375914.877265218,363652.839091638,409705.836647303,364919.966186146,352688.062488496,339315.489394956,315027.249202343,378662.298342447,361823.659489808,378886.246219382,356747.887158757,391369.357590874,336965.608632302,390392.131099947,338556.278103031,351878.344471758,334612.254689029,377872.25336236,353570.9757636,366864.29858904,411158.478183796,360529.70595307,,407948.695436965,368647.699600515,356610.263074698,344318.885858371,357364.42404497,343722.30856465,403973.013438372,420427.391552473,283430.761927547,460211.553440103,,390826.166929627,348933.849669987,397283.241921122,389365.66720626,359692.889760124,402211.502426514,455890.070560746,347485.408984445,379511.602141692,,414667.516933273,412628.58546975,427153.377206384,383575.754954687,423039.651836441,394471.536690001,420537.298287014,593926.309700134,499774.513647978,531782.304498639,561447.243078521,534940.234904197,592440.873174255,592750.873091031,572180.304152376,509001.45284896,648939.520446595,568190.182196643,602998.644058581,570753.816576187,553985.422246414,506553.822594306,504131.813070662,492893.417827727,563062.976778723,518050.599135581,526169.022960899,567472.67941586,496843.71132735,508571.773492657,519117.242193773,543339.038042996,497288.993223085,511196.959742065,477139.252806823,520123.203852216,496874.269754028,453037.512598976,470397.367774353,524715.644940028,518722.673514678,492383.691889459,470139.846649855,528824.811609825,532404.919965826,552764.775202584,498761.596617675,523535.667416084,540723.087733454,555248.056424523,548055.225269377,524388.161243583,558235.335778834,563669.953552782,600459.362071105,530902.414417311,528021.426615479,536037.570225881,539609.321819531,529129.955784058,525989.204708315,450565.371480451,538519.239445238,623853.660859665,426472.164855187,396605.980791687,540933.619383614,596338.58383084,581116.014927691,607425.868937744,479679.409896035,586296.936561752,576926.071748652,490630.200982324,476487.211959228,518606.579188512,548750.254381436,502883.820811302,548077.871487398,126740.427086792,108838.414619328,106982.266173076,131405.974819717,151653.330815405,106351.61015741,122878.882920493,180079.158392622,87713.4907698051,118311.669667837,143832.007410676,127371.646394938,117787.862477218,151981.847895551,112610.38056403,150126.955069961,117913.210948941,129123.55993946,151217.063384245,104488.28040528,106753.819338775,116955.630670128,129567.199698107,148694.069445715,113957.815226486,131395.948851226,121280.340126724,130470.391872832,107558.913785648,113744.627468505,173356.8026516,150193.570271636,118344.460426857,139955.115624812,133719.842540541,51842.5981460877,114941.731821363,104770.298540787,121495.735353916,120818.15451201,128046.554505044,130793.186254816,126594.570981074,147376.879792801,138889.570908505,119480.313164612,147970.329071695,137514.820125388,126161.334898892,113884.172567607,128601.670611577,138495.713280749,149285.144042611,126173.299548135,103775.298093745,116464.24469667,140734.254115226,121486.067655685,102776.268556701,167173.574928085,143650.088699692,118745.24842585,129851.317597016,155319.876848114,147764.86100407,137056.24492456,130417.562846006,124534.732402108,130415.673071391,133020.875300268,128006.468944984,135484.672352692
,,142.9514,14.62,,364594.838885352,384345.918180351,440868.677896088,380160.016716934,432648.92526229,364995.406000918,359269.888034162,400493.43719876,352894.776342126,444696.527566904,366687.50377537,443891.946917507,372854.844755927,324571.43915718,429971.830319937,462265.935420859,443922.630450638,301162.099410884,352148.908250973,359765.273829172,443403.319240027,329181.402463482,421772.801117106,334917.187994682,396655.406817074,437139.691690288,444501.186889429,409161.730451766,429552.080383523,394159.060640524,418737.384636231,450003.755008651,469862.834411261,424666.210230073,369054.195123043,399198.505132988,403408.578405334,416438.221894845,349059.674919296,439021.543629751,516558.802303684,456256.692230736,477970.285740909,401056.723647335,361944.970304612,445081.154044706,463560.461421,400993.874648232,515002.649999986,446736.361659733,507574.219789227,414157.423551269,414306.866354363,552040.709780565,372643.325139648,481713.350723653,472708.431495123,299794.071767801,463396.989155933,499462.644319653,384120.60732494,452219.045302704,427316.844367367,455935.195593459,497785.169768511,462045.672683243,426109.750003701,461835.383272933,488330.144389304,511960.9626787,425838.501714799,467641.981069302,393326.764132478,412709.324892014,396885.200574376,394038.765191066,404841.684158103,389093.512093981,366536.905002005,430114.429598894,342535.307764014,409710.822964044,415715.589009528,419687.208139786,447248.973480543,394352.467290839,404670.812255648,377980.447845951,389757.459779031,499769.009509202,566533.664402864,508850.38296058,403611.032613715,463776.85137773,500028.935581799,412262.941290162,401382.274016043,445319.752292964,477268.542100229,441539.366308824,604798.324763941,497787.926527439,420394.572845862,443181.270850818,445616.174321191,413781.596094612,390473.663940163,419545.865737115,452170.460418359,385535.11241392,478708.627837921,362399.734822262,369571.199352855,466071.562956628,388424.393820552,412499.251050615,393148.688581885,488792.121856695,438732.540982258,522315.342599992,482018.541173169,456217.708614625,451756.126948341,533123.016908698,480107.146297802,403791.612167378,451825.611248072,375083.037052579,376076.851385312,409933.56713261,408591.040253575,393153.415912104,482841.834136522,464937.9715293,372893.673880156,404314.865569976,437222.385872919,319729.179498041,392199.040515569,437228.441575525,356258.696174994,395024.730425364,396670.400922513,431270.364120112,273215.062344619,392808.961009023,390227.933780565,347773.934908749,115644.198677937,117765.720103698,97097.1611818219,108246.601055868,104824.573701986,166132.718265266,109537.675433978,104226.232044496,106554.509170811,102608.987988737,98976.5461385348,214427.669630182,250591.112136463,75437.4796835274,4788.22557683056,103505.631837785,101452.971312176,114496.658018854,108507.360391231,97667.8757718589,101646.362628126,104354.662881359,107123.975005048,77776.5394815996,76498.366054103,115553.725172092,110112.037656232,115950.062383636,90418.7263131557,111458.764461155,7972.03626052057,99702.5632441322,92933.1996113051,2804.33736458629,3005.96693629468,105165.18364941,104638.075584407,109714.63342958,3753.5939592469,131988.828724058,6123.61634183614,95695.3004783865,100821.46975658,6597.08279158991,109408.377605649,105632.274984014,6159.28782219249,102415.696161857,115238.696605438,2640.16887584923,103154.071750465,142463.38916273,121202.454695182,107475.265195428,3899.08787098199,91362.3176824891,3743.73831337048,83219.9994702854,2075.33681641661,110083.9394664,4949.43301985573,96062.8223173026,8656.7542402083,107297.74366132,110543.709403485,82558.3381757391,3998.83587328273,97398.5072082105,4333.79703222838,2547.31036172256,2784.36698969886,2131.56181344206
,,498.1356,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474561.670964803,,,,687686.300104081,658640.259657105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45539.3110509568,,,88055.5430107423,98378.3830034537,,,,,,,,,,,,,
