FeatureID,Taxon,Confidence,donor,conditions
0876151038534344cd9e870c08a523e3,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__,0.979067351062317,18,"BB,BG,BHI,GAM,GMM,LB,MRS,RCM,TB,feces,liver"
93f0871a7473e00d7e70877af2bb46ba,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.823388806374188,18,"GMM,feces,liver"
fbefd72518927b22ea57665a7868501d,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Gemmiger; s__formicilis,0.853637689328153,18,"MRS,feces"
6121caf4647799c9c9b99c881535b69a,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.999968012202304,18,"BG,feces,liver"
368f55fca73cc31f850e5e16b22e7e5e,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.999999135864148,19,"BB,BG,BHI,GAM,GMM,RCM,feces"
8b414a059be1b8812e888b7c4d47bb2f,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__,0.999234627225703,19,"feces,liver"
99b1f53ba17848d8295ff8a4c047ce43,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Butyricimonas; s__,1,19,"BG,GAM,GMM,LB,TB,feces,liver"
aefb133c70bb57e67c558c826ca32e1d,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.999884149004456,19,"GAM,RCM,feces"
c59e293cf3c7278f4521bedf9a2405ef,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.957269865852716,19,"BG,feces,liver"
e556ee18a9178a7e7c03b0a8d5042772,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__; s__,0.999084986631029,19,"BB,BG,BHI,GAM,LB,feces"
756e9c33696716a5484135c832f18f12,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__,0.999831118018759,19,"BG,BHI,GMM,feces,liver"
7652ccdd5e6b26735193e6ff07ffb7a4,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.999904565870553,19,"BHI,GAM,RCM,feces"
d5cbe1dcce62ca53c3fac4c817975aa7,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.998471877094095,19,"MRS,RCM,feces"
392daab1750ef4e10382bead5bbdece3,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia,0.999288503652757,19,"BG,GAM,RCM,feces,liver"
8fbe1c40397c6fc6b3c502f05b27312d,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Butyricimonas; s__,1,19,"BB,BG,GMM,LB,MRS,RCM,TB,feces,liver"
afbe51e5463ffacada806a5b38f701f6,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__,0.999991792005736,19,"feces,liver"
e502ebea2a54a6f839d310d6d57e7d47,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__,0.999999966764009,19,"BB,LB,MRS,feces"
74a6b2d8faae4662532b0e4123964dac,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__,0.999999797047415,20,"BG,feces"
58529dd65c9373ab07909325cc829705,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__,0.999999998557655,20,"BB,BG,RCM,feces"
2efb2f1e5f8793b60c986ab74c6c9df9,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.998766072280513,20,"BHI,TB,feces"
ba73bff021c7e429a1718391a70498b8,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri,0.999997372997879,20,"BB,BG,BHI,GAM,GMM,LB,MRS,RCM,feces,liver"
b044a86e33a67caceb0a9f59149747ac,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.924988346539476,20,"BG,feces"
45158693222383612f0b6b469c0be1fe,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__,0.999999999586692,20,"LB,feces"
5654714fd17021f92582b02756943a86,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.996705842101813,20,"BG,feces"
f71275613df1289a2f1e395b2f29c4be,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri,0.999996134952562,20,"GAM,feces"
d8e3bb4112a1dcb990149274f5ff9046,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.998780226077454,20,"BG,RCM,feces"
804392875955b7813407aaa02cee9c19,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.965068740283945,20,"BB,BG,RCM,feces,liver"
2798413ca77bff01b9e99634755bfe3d,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.99999657292577,20,"GAM,feces,liver"
e74a5cb3fbe028ec4c07f35adf4ecdc5,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__; s__,0.999735514983338,20,"BB,TB,feces"
cbc7e1ded30d9a5a5921eb022daf9060,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Catenibacterium; s__,0.999607299906519,20,"BB,BG,BHI,GAM,GMM,LB,MRS,RCM,TB,feces,liver"
31e3f64d5d2212f7d32e2dc3e2142ff3,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Catenibacterium; s__,0.99783308977575,20,"BG,BHI,GAM,GMM,MRS,RCM,TB,feces"
7fd072aff74564746d11ca0c54ee6ae2,k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28; f__; g__; s__,0.99999930403817,20,"BG,feces"
c994a2772a648316e21e664e3a878e80,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri,0.999973963475382,20,"BG,MRS,RCM,feces"
b6e5ad51de789e3824ab1b61ecb677be,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__,0.999999999998266,20,"BG,RCM,TB,feces,liver"
91f4e69347337f2403fa5183f105ab76,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides,0.999999997032087,20,"BB,BG,GAM,RCM,feces"
0aef3952d1153281af439a9814dd012e,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.990118637357481,20,"BB,BG,RCM,TB,feces,liver"
0a8f6e74365b38fabece87fbf112b48d,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__,0.999999970681515,20,"BG,GMM,feces"
d6f0b2f1ce62fd3a3e75504667e99a58,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__,0.99998806901781,20,"BB,BG,BHI,GAM,GMM,LB,MRS,RCM,TB,feces"
a471645f99a79630b8b3299997bf7a33,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri,0.999998097169259,20,"BB,BG,BHI,GAM,GMM,LB,MRS,RCM,feces"
26066ae036761fd998e99c0f1128ea78,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]; s__biforme,0.999999999991204,20,"BG,RCM,feces,liver"
8ad6a2d9f5bbf6604ae0392c3b7e669b,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Butyrivibrio; s__,0.999494636737419,20,"BB,BG,GAM,RCM,feces"
9681441ad736892c2455edc6d137eac1,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.992849048566657,20,"BG,feces"
560b5a909bcd180523d8a636e4b72d07,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__rc4-4; s__,0.999999711480568,20,"GMM,RCM,TB,feces"
